	MCL1.DG	MCL1.DH	MCL1.DI	MCL1.DJ	MCL1.DK	MCL1.DL	MCL1.LA	MCL1.LB	MCL1.LC	MCL1.LD	MCL1.LE	MCL1.LF
61694	43	42	33	24	39	31	39	35	35	32	66	51
28186	4	1	0	2	1	2	1	1	2	2	2	0
83657	43	34	33	33	24	37	55	31	28	34	31	13
49016	1	5	3	4	1	2	6	1	2	3	5	0
95881	144	190	98	111	218	156	303	560	445	227	179	172
31714	1330	1692	2499	1284	2045	1307	954	1338	1628	1275	836	1945
39330	696	572	451	492	324	1049	693	560	441	741	617	497
59764	14	18	11	10	10	5	12	9	11	12	13	15
44015	34	42	36	29	19	27	69	33	58	83	67	61
65474	4592	5059	6271	7368	5359	3637	4644	6302	8896	6693	8425	6350
42904	320	434	647	286	322	95	385	212	432	288	262	297
76464	144	144	74	63	199	164	256	89	173	157	73	221
12737	1444	1098	1586	1160	1527	1682	1799	885	1945	977	1253	1185
49417	17984	19755	29620	13231	16674	22891	23654	23498	12953	43960	18399	13109
12892	1266	891	2923	3128	2159	1279	1401	2223	2763	2243	1969	3476
39168	125	147	293	215	231	229	227	223	302	142	281	256
77386	382	328	217	85	342	198	350	385	323	294	375	260
38133	390	484	773	662	697	430	347	423	454	743	243	496
74745	89	48	26	68	65	43	68	35	32	51	27	63
50417	31	22	16	20	20	17	25	28	18	21	15	19
59101	143	123	274	105	161	215	95	113	112	144	110	178
96564	34	18	26	23	53	20	43	58	58	56	40	48
72459	145	145	145	77	142	200	239	164	99	90	190	71
67978	133	186	176	165	142	201	287	306	220	147	181	162
76544	15485	16484	14318	10665	24742	26237	14119	15059	22206	14249	10447	14096
30736	32	15	44	26	33	19	19	31	35	29	30	37
79876	173	122	137	143	129	121	118	111	161	116	147	199
76345	60	153	194	121	136	124	54	77	148	129	135	122
23126	260	239	236	297	288	392	413	637	360	675	313	273
42880	1139	1351	1448	1100	819	1199	1375	848	973	1483	1427	1353
86266	53	73	54	75	78	69	91	37	84	92	32	41
69864	20	25	32	31	57	33	27	37	39	29	30	26
98950	6	4	4	3	8	5	3	4	7	8	10	1
13936	46	35	39	23	20	31	20	19	20	18	41	28
97250	517	294	537	412	265	360	310	414	571	480	735	691
72845	189	308	180	125	272	232	260	105	292	102	214	166
39679	23	19	34	26	10	51	18	25	25	23	17	10
33514	57	60	105	58	46	48	108	109	35	48	68	60
36644	107	153	200	177	83	196	112	176	120	171	111	115
65465	269	411	565	405	340	621	580	496	526	438	350	676
21411	36	45	83	53	44	49	64	41	30	83	55	53
99928	69	109	47	108	100	105	119	67	128	71	74	93
91483	7	4	2	3	2	4	5	12	2	9	9	3
58158	13	10	14	25	13	9	11	16	23	14	18	22
50088	3713	3450	2623	4560	3569	4460	4535	3363	2626	4479	8810	6263
44801	4	3	2	0	2	1	2	1	1	2	4	1
98386	39	69	53	94	96	92	47	54	60	104	69	65
55592	342	223	297	251	434	276	433	1070	427	426	701	442
47025	85	52	82	91	33	72	92	100	46	42	35	82
28224	20	28	37	27	42	33	17	31	30	28	62	23
37499	101	68	118	132	154	131	109	93	126	110	194	149
48007	246	115	190	168	330	135	164	208	225	120	145	108
15669	156	190	147	156	216	96	141	111	179	100	81	185
14573	4	5	2	4	2	5	5	5	6	3	5	5
56764	99	157	168	84	87	68	126	172	107	117	271	62
24598	26	49	19	34	34	46	21	33	20	27	31	13
81547	35	55	75	53	80	105	26	31	46	50	64	84
15750	216	256	134	301	197	210	121	268	311	404	270	204
71715	599	644	482	878	628	517	307	605	694	384	790	555
40801	710	1064	1354	1088	1111	579	1145	832	1249	797	1084	783
81691	67	84	51	93	47	56	31	68	57	82	38	41
75906	938	780	1154	791	1291	754	609	1163	611	1142	1383	1037
74426	1812	1845	1207	2245	1320	1436	2333	1225	1095	1033	960	2075
93619	1053	1360	1455	2227	2208	819	1868	1025	869	1277	1875	945
31521	3862	2803	1496	2737	1461	2978	1998	3881	2436	3077	2604	712
14212	130	108	63	110	229	106	129	132	65	94	93	143
71751	158	126	80	166	103	47	160	112	116	113	55	149
93889	540	802	811	633	430	818	1223	970	577	1112	805	556
93086	8	18	10	3	18	12	12	14	5	17	7	13
61977	282	135	153	304	169	252	335	586	506	437	540	382
29403	57	50	46	63	17	46	34	46	59	41	61	49
34904	44	94	88	80	94	86	37	120	94	74	60	107
23359	4	2	2	9	2	7	6	2	8	6	8	9
80771	45	22	18	36	40	18	26	40	32	40	37	34
67648	94	130	263	229	192	199	230	169	158	177	149	133
30057	875	462	532	964	892	754	2122	1938	1308	2247	969	2991
32228	1304	769	1172	1484	688	1491	924	987	1003	1459	1337	519
15959	111	165	103	114	67	189	100	146	139	156	113	137
22395	99	65	53	124	175	112	81	45	110	93	39	109
76826	36	21	30	25	37	36	30	46	28	38	34	33
57722	235	381	251	349	313	346	212	350	202	379	241	132
59642	50	52	85	86	68	70	71	63	67	72	110	152
48999	897	677	446	824	827	504	242	380	611	783	358	431
80191	5730	4317	4303	7354	4176	5083	4392	3772	5839	5605	3495	6396
99147	150	121	188	118	188	159	623	281	228	275	190	261
30982	5	14	3	11	9	5	5	12	6	9	9	9
12497	28	41	41	47	28	19	21	40	20	46	28	20
14549	6	3	9	2	10	5	6	4	10	2	9	6
90279	18	23	13	7	19	14	19	23	18	25	20	33
11825	2903	2756	2587	2729	1756	1745	3356	1102	2818	2361	1708	3520
25588	221	476	466	290	249	188	91	120	189	167	160	306
60632	6	10	4	12	5	6	10	5	4	9	7	2
68475	610	558	586	691	829	676	479	509	524	973	572	562
85543	1645	2084	2459	2302	1831	1932	2098	2101	1910	1738	1880	2197
38292	80	72	64	48	37	39	47	125	82	60	82	119
29256	26	51	23	59	24	71	40	43	49	35	45	15
57980	78	57	65	57	100	118	25	63	74	40	115	137
91153	229	194	304	181	203	329	265	82	290	281	278	300
49708	469	595	372	632	547	680	412	569	262	296	619	769
61041	1178	1882	1791	1348	1622	2874	1710	2215	1467	2982	1093	2064
50344	1983	1525	1705	1638	1512	1351	1622	688	1465	1476	2704	1251
12161	1899	1485	1520	2302	1460	1434	1489	1177	2403	1255	1588	1948
72175	1051	3500	1848	3509	2101	915	3947	3097	2094	4784	2114	2265
19546	487	484	938	796	381	615	508	725	388	757	583	560
85176	5	9	4	6	3	11	5	10	15	1	11	4
38839	99	84	163	116	175	111	141	128	74	179	91	114
22389	335	323	251	358	167	325	263	321	338	422	132	398
83812	80	47	84	78	39	81	73	78	131	119	99	62
21827	552	1160	893	1421	621	1042	1322	504	520	828	1204	756
34037	76	95	103	35	70	80	51	64	72	70	87	104
15182	43	24	35	19	45	15	24	23	23	36	20	40
97481	3743	3267	2857	2031	2366	3342	2925	3251	4936	3558	1928	3767
86926	483	542	678	309	561	410	884	956	783	429	542	413
38864	199	188	198	361	205	170	358	222	219	384	167	263
33811	1044	567	590	719	1052	975	1121	944	727	1447	510	1043
47694	1205	1387	390	1227	2089	1106	1307	915	810	1516	1227	597
71382	336	282	390	281	452	256	331	302	367	360	457	293
64511	2	2	0	1	1	0	1	3	1	2	1	1
84159	27	30	39	31	47	40	41	66	58	31	38	43
26967	71	61	50	94	56	99	53	56	78	54	94	53
61019	4	32	20	13	32	25	32	39	29	30	26	13
81724	166	240	149	318	195	270	247	147	253	265	263	267
79295	931	1511	791	1649	1870	1644	1653	2266	2005	2036	2415	1988
13969	61	52	57	83	44	111	41	102	65	57	75	75
45738	26	11	27	30	19	19	17	13	15	9	22	11
26380	12439	10186	16069	12970	13064	12992	9872	6858	6042	7771	10185	7707
17350	100	70	38	89	68	44	81	77	133	57	35	100
67573	11	19	14	23	15	18	10	10	9	18	21	3
92146	315	222	311	113	128	292	352	151	225	280	354	297
22955	544	315	526	237	169	486	592	304	334	413	383	379
97286	37	35	30	15	29	34	33	31	16	19	47	36
15027	436	1166	767	670	1021	670	945	412	753	619	916	1008
64152	47	54	61	28	91	47	59	59	78	87	58	39
82498	16	18	23	22	40	35	19	19	23	44	26	23
80369	209	396	317	199	377	171	261	126	243	171	247	214
75540	1042	463	805	1295	807	617	906	553	739	880	339	672
29650	78	88	43	59	25	30	44	47	72	41	57	31
13970	378	391	478	305	276	246	214	320	242	442	478	264
31812	216	259	119	192	93	146	67	97	84	80	99	127
37798	41392	69144	41099	66190	58934	40277	26783	48749	28754	34394	26656	62269
35391	77	21	37	42	32	24	51	22	35	37	73	44
31127	1550	1922	1742	2642	1817	2796	3106	3398	4051	1821	2812	2099
17513	206	119	72	104	124	116	66	133	120	147	93	144
12086	122	146	130	85	80	195	73	66	183	186	192	71
32227	604	842	789	635	668	797	297	510	428	285	844	517
29846	1186	865	697	836	991	1024	1067	617	1317	1168	815	649
81277	3412	1063	3699	2054	1123	3481	2426	4551	1722	1548	2402	2301
55127	211	399	302	312	273	324	296	496	332	183	275	294
30461	34	36	36	31	57	25	37	26	66	59	46	33
74601	32	86	48	49	34	40	37	44	74	37	41	79
26060	502	302	459	295	435	980	286	229	590	889	461	561
73671	558	561	527	571	502	299	243	483	351	419	524	621
92774	2732	2987	2539	3132	2839	2474	2953	1854	1853	4289	1680	3064
89421	348	169	285	162	354	433	661	434	512	254	246	270
73435	1048	1993	1478	697	1110	1025	2742	2663	3093	3117	1443	3169
40875	4288	5663	3609	3166	2407	2816	2487	3945	6062	3212	2364	2004
23639	153	335	244	275	238	197	172	318	301	213	188	225
35266	9	13	7	3	5	6	13	2	4	10	7	4
48507	20	9	42	14	9	14	10	8	18	21	21	17
34364	9	7	11	9	19	9	6	12	28	15	11	15
47878	4108	3067	5710	3348	5487	2566	4939	2480	2774	4812	2370	3532
14962	27	30	41	26	53	29	28	33	18	36	27	43
36645	1164	2850	979	1576	1375	2697	856	1815	1882	2205	2419	1244
33865	558	497	418	483	428	489	820	542	423	735	377	522
83237	7074	4398	5629	4991	5898	5259	3827	5754	4291	4187	4181	2627
79314	1195	1154	1085	1137	1253	940	1755	987	1188	1054	1999	1045
83069	85	114	157	161	147	50	100	116	182	58	152	216
19432	84	96	89	116	72	94	260	254	349	215	240	153
55433	168	175	226	171	241	142	97	185	154	148	374	125
94562	266	206	82	177	339	197	230	314	301	300	220	244
13545	38	74	50	46	35	54	38	60	38	53	58	92
33192	152	260	134	99	141	80	129	99	228	100	110	130
77851	5194	4323	2284	5173	4843	6223	4458	4139	4617	3183	3673	3485
59393	1	4	1	3	1	5	10	13	6	9	2	5
68435	168	388	155	289	283	222	286	423	417	324	132	238
31322	48	30	25	15	13	26	46	16	12	21	25	21
87448	107	318	162	410	179	147	355	201	274	157	219	155
68582	477	608	970	348	665	747	695	847	691	1052	797	961
15404	134	159	95	151	202	178	197	64	150	71	130	107
24948	666	612	1152	556	756	824	754	785	792	600	771	262
85215	4	5	7	5	10	6	7	4	10	6	3	7
63491	1827	1402	1507	1140	809	1790	2259	1292	2625	2517	2504	2854
74258	82	68	33	20	48	38	43	38	37	82	33	46
33663	730	507	574	477	386	694	336	316	696	475	474	536
49299	238	205	306	278	187	309	458	155	184	162	292	330
73255	0	1	2	2	1	2	2	0	1	0	0	0
47723	40	18	36	33	33	20	13	34	54	33	20	40
86795	146	301	178	135	220	430	224	210	321	85	273	231
14641	2234	2216	3214	2721	3823	2623	3864	4386	3583	3404	4538	4052
100484	365	289	406	231	312	403	322	361	177	235	233	235
49344	328	272	336	260	274	257	435	706	470	595	379	395
49570	10	7	15	10	11	11	19	16	3	6	9	5
24548	3651	2632	1851	6087	3323	5005	4979	2562	2980	3448	4895	3910
44423	7535	4548	3597	2540	6449	5981	6008	5442	6791	5785	2217	5751
30902	69	136	174	162	182	158	312	108	130	125	198	155
39841	63	49	68	103	71	71	76	154	74	132	72	90
61661	4	4	12	5	4	5	3	5	10	4	8	2
99695	782	514	755	1226	652	549	867	542	1178	1060	1274	1218
63136	60618	56658	35802	27737	43655	18118	33421	24819	26631	32886	28893	38310
58566	722	360	277	915	515	528	1451	886	1651	1273	961	1414
55576	2262	3040	2239	1271	1794	2092	1638	1321	1585	1860	1405	2895
66972	429	459	402	336	352	394	1136	1032	890	1055	899	664
90683	17	13	22	13	22	12	18	16	30	14	25	19
22698	2583	2317	1694	2607	2038	2373	2925	1250	1958	1887	2550	2554
53415	13	21	13	15	12	26	14	28	14	17	13	6
34228	125	87	104	150	115	189	160	225	139	194	203	168
89310	219	365	341	201	395	284	508	618	399	534	365	941
82532	788	668	698	1108	616	1158	866	734	695	905	1038	527
14441	620	407	541	208	276	270	374	216	326	445	380	690
66305	520	389	323	323	439	317	377	607	683	637	831	876
67976	34	47	21	16	65	24	37	18	46	59	24	27
46702	14	9	8	12	10	10	11	9	13	10	11	3
48215	166	253	188	137	112	233	76	136	192	155	96	164
86272	32	29	33	30	41	44	32	69	26	45	54	33
92956	12	3	5	16	5	7	11	6	6	13	13	8
94520	18	6	12	8	9	7	19	7	16	25	21	13
35164	40	59	74	98	34	64	70	49	59	59	57	108
65128	6	4	8	1	4	3	6	1	5	4	5	5
36827	11	10	5	9	6	18	5	16	17	11	12	4
72424	6	8	3	5	6	3	5	6	7	5	12	7
100317	241	250	136	263	243	121	357	449	472	247	431	269
88466	285	399	464	281	366	180	387	460	216	670	514	426
16785	7482	6567	5304	6523	7924	11813	5679	10608	12265	12291	12148	6383
58873	6	9	16	16	6	11	4	1	14	11	11	5
68097	22	36	38	64	40	44	81	94	46	122	55	84
16080	560	649	803	1199	1496	596	1103	551	1190	582	1306	1369
97653	100	46	116	93	35	139	95	172	72	108	122	92
72309	128	50	64	76	121	62	50	84	108	62	66	100
24062	3229	3264	4570	2883	4524	6250	4414	4157	4107	2686	2933	3791
68932	92	77	96	93	60	93	86	75	58	99	86	64
71470	14	7	8	12	20	10	8	16	9	8	10	15
70576	7	18	7	10	8	12	9	6	17	12	19	5
95817	395	374	397	305	335	87	289	448	310	460	279	215
53521	204	375	236	311	289	152	177	268	187	281	157	217
93751	3	18	10	8	6	5	15	20	11	9	13	14
29416	21	19	20	16	15	15	10	7	16	19	24	23
70745	391	318	558	255	614	286	532	743	246	432	517	462
34044	195	439	425	660	681	636	395	321	390	545	632	354
33777	25	49	53	26	44	48	50	24	33	44	37	37
93027	466	1092	870	282	653	409	768	519	472	237	353	404
89669	207	575	754	511	427	762	957	1144	1125	780	814	797
42609	8	8	11	3	4	5	3	2	9	3	3	6
34723	121	67	112	55	58	108	74	60	75	70	146	86
51542	244	418	341	244	222	329	481	258	395	412	324	331
12083	33	125	71	70	33	37	59	60	52	56	44	41
36362	5	3	1	1	1	2	0	1	2	1	3	0
49750	131	148	72	95	97	64	85	143	89	103	74	68
87831	996	817	408	611	622	839	323	815	314	588	456	1144
78650	4093	3030	3103	8414	5110	3759	5995	1876	4599	2100	4496	4322
67252	1	5	2	1	0	2	1	2	1	0	0	4
52193	33633	24579	22313	12317	19406	26215	33331	40713	31420	25372	24293	31205
100661	24	18	18	20	17	19	21	32	18	16	16	12
42565	814	1058	1182	526	1468	886	600	1126	726	629	703	1261
96097	1712	2073	2164	3529	1104	954	1191	791	2486	1973	1889	2133
73347	1519	909	1085	810	765	774	1011	966	829	1244	887	1009
55981	233	282	180	377	144	269	297	271	161	180	165	169
86027	18	24	13	22	4	15	12	11	13	6	8	15
61181	432	433	572	417	596	745	276	422	582	593	615	376
17252	32	43	41	39	28	48	34	31	23	24	37	28
71672	0	1	0	0	2	0	1	3	1	0	2	1
40037	34156	35668	49797	41037	51827	33410	47191	36009	39151	40690	58047	29685
78994	498	453	632	585	505	367	502	845	466	523	749	702
40824	3971	3758	5705	5779	2815	7066	3749	10601	6642	7278	4365	4681
48881	11	23	31	17	40	14	26	25	16	30	24	28
35275	4188	1952	4022	1797	3686	3053	3620	3104	5795	2170	3736	1587
26909	4951	4993	2946	6227	4448	4471	10176	9239	8670	7227	6685	4591
23199	2895	1653	1934	2495	3441	2493	2980	4799	3461	4226	4916	3307
21580	210	169	122	103	206	170	157	92	161	165	180	55
71931	5	21	13	6	19	14	13	8	21	10	10	13
63202	92	104	120	107	76	95	195	175	146	293	250	150
71549	2	0	5	0	2	2	2	1	1	2	3	1
38325	2	2	4	4	5	2	4	6	5	4	9	2
54537	104	256	231	122	192	143	147	132	151	145	130	127
51037	26	16	24	22	30	21	33	36	15	28	16	36
72678	143	103	65	116	74	98	143	118	107	97	78	90
99179	196	100	114	264	178	136	141	273	161	363	138	197
83325	6453	9950	4488	7173	5370	5528	4052	6032	9263	11031	8277	11041
17651	2040	1911	2423	2330	2669	1264	1305	1086	933	2344	856	2355
62842	279	61	105	102	150	143	167	134	214	149	184	69
97254	1557	2588	2718	1978	2365	2232	1363	3672	1930	741	1942	2038
82704	57	26	35	38	33	25	41	45	18	25	17	18
82611	105	84	106	84	68	73	71	100	53	103	145	55
49715	985	1221	772	745	826	682	1220	1150	1655	1170	1423	1202
59646	18	16	11	15	6	13	23	16	8	8	18	25
56751	134	177	135	107	124	95	53	80	88	109	108	115
56250	15	10	9	13	7	9	14	7	9	24	10	12
77377	362	197	272	175	201	226	396	367	541	368	269	312
21795	3648	5671	2955	5124	5965	3288	3888	5127	7216	3195	5199	4062
99858	24	35	30	38	43	34	14	18	41	65	58	48
45244	155	275	375	149	261	274	182	214	300	238	182	216
39807	21	30	26	24	23	31	32	23	22	42	17	30
97825	19	18	22	16	19	9	24	13	12	21	29	23
21417	15	11	21	10	11	12	14	11	16	14	22	10
72919	3207	2673	2231	3221	2821	2853	2200	3932	3168	2546	2828	3072
39359	26602	30298	10321	24949	16332	25147	17048	28804	24183	8234	18037	19088
74889	345	291	241	310	599	486	672	341	268	378	533	331
89642	61	35	39	44	51	58	44	44	57	29	20	32
18255	952	510	781	899	656	477	742	859	702	475	540	990
79625	80	59	65	39	73	79	126	75	154	56	52	94
66750	778	714	744	705	469	482	427	709	716	802	968	1339
22603	212	265	260	337	259	382	291	228	319	242	405	445
64860	284	226	106	138	273	327	341	250	322	184	132	287
38359	701	275	781	377	505	210	426	412	403	447	603	533
15260	60	70	56	64	44	41	46	40	27	37	87	58
36475	69	106	85	91	47	62	67	86	78	56	54	74
65063	3	14	2	3	7	5	11	3	4	3	9	2
51832	53	60	68	45	98	59	86	73	62	36	63	70
18724	2	7	19	8	16	7	10	6	11	10	6	7
20399	124	114	105	123	122	118	91	124	125	181	136	141
53953	23	6	13	17	16	29	51	41	53	23	28	12
63727	175	203	117	318	215	175	187	242	164	304	139	122
70303	262	365	577	471	395	449	348	426	249	441	524	243
71614	11	6	9	8	7	8	6	14	10	8	10	8
90849	34	37	22	71	32	16	15	21	22	63	35	14
95141	29	29	24	27	22	51	25	30	19	26	9	20
85834	532	1025	877	306	1038	183	831	703	720	671	821	1071
26459	3250	3897	7028	7235	7346	5654	4936	5001	3854	4128	6037	6183
95777	822	1442	717	1455	1048	850	906	1275	768	788	780	845
51085	81	50	67	105	28	93	66	58	133	66	82	89
89379	2294	2473	5644	2822	2868	1910	4207	2386	2833	2464	3032	2066
98603	4	8	9	12	6	8	12	11	5	4	13	10
91677	3679	5791	3538	3438	3283	3608	2817	1732	2935	1955	4104	3280
21842	26	37	47	24	38	47	19	38	45	47	41	37
38741	2	2	1	0	3	1	2	0	2	0	1	1
21710	21609	24476	35093	21703	25643	30636	21428	43782	33257	44792	29852	23429
50462	2742	3099	4675	3796	6072	2764	3786	3406	4895	4053	3271	2786
74124	25	9	23	29	10	35	24	14	16	8	13	19
33432	186	71	227	281	152	146	124	260	186	206	220	218
14185	105	77	87	84	82	90	81	56	154	112	81	125
62261	341	67	304	149	281	194	221	254	178	130	185	182
73136	1	18	3	6	6	17	13	4	14	7	11	4
83986	28	70	35	81	22	45	29	31	31	59	19	17
46462	354	528	409	437	656	473	374	128	401	230	278	356
53457	300	219	362	268	259	202	102	189	327	94	243	285
86838	2488	2172	1164	2823	1673	1406	5048	1673	2833	5034	2928	4830
16384	126	177	160	184	153	172	107	194	180	219	271	203
81041	13191	16207	15208	24216	12255	22497	19057	16445	17579	16609	13064	18136
38858	17	17	36	34	22	29	78	79	56	57	135	75
94198	361	260	212	202	189	146	215	213	124	219	218	293
39015	8	5	3	7	8	3	4	3	4	2	3	3
48335	10	5	17	22	5	16	14	9	14	9	18	14
83948	956	2818	2687	2354	3075	2709	2155	2434	2137	2338	2737	2222
24878	22	20	20	43	36	27	11	33	24	27	20	10
65469	330	632	608	248	301	353	724	533	489	543	181	525
82437	126	180	200	203	103	163	89	168	86	195	148	114
18431	31	31	9	23	31	22	20	10	17	29	13	17
60711	120	92	111	94	28	59	55	46	105	99	45	88
64416	65	45	59	69	40	62	32	36	60	37	89	85
54219	64	63	54	71	60	41	71	80	95	43	69	34
44956	616	730	583	548	886	533	802	1014	520	1406	979	769
38259	556	457	459	285	621	201	1178	921	1282	1253	1361	2139
45616	28	53	38	68	36	44	48	52	76	20	43	65
84956	29	24	26	29	26	20	26	45	27	23	24	38
99510	279	210	304	246	279	309	467	169	390	360	148	194
46373	90	160	150	112	148	108	146	169	171	142	122	184
37662	1393	1208	1242	1254	1081	326	1152	628	978	1094	1741	1631
25125	33017	29799	26173	43003	28085	19569	31538	37762	39342	32590	30902	36943
34437	577	750	1052	874	433	1081	602	866	739	698	371	750
80587	188	153	172	165	146	142	130	210	156	121	98	110
78986	157	104	147	222	149	86	44	181	81	99	110	89
58736	14	23	44	17	37	44	15	60	24	13	18	21
22684	34	37	28	18	25	13	18	15	25	12	11	33
18737	25	18	10	36	13	13	21	8	24	22	34	20
18997	79	72	46	61	59	76	185	154	147	176	180	111
81480	62	32	68	59	83	74	36	39	41	75	72	76
93658	499	389	734	959	597	719	555	1077	1556	848	1702	1529
98810	116	79	67	75	23	53	110	60	37	83	40	55
87879	84	103	129	129	63	62	99	146	96	106	76	88
67495	6	13	19	13	20	17	23	6	15	11	8	18
39440	5188	4476	4520	6838	4193	7173	4019	2856	3305	4572	2594	5542
29003	581	353	549	650	564	294	491	508	402	401	655	345
40568	7628	4988	4761	4298	6095	6578	2478	9424	4564	9863	5368	4855
36962	782	1691	383	764	503	533	1842	610	2572	1802	1239	1232
71059	2760	2707	2715	3423	1401	2234	2373	5467	3206	2981	2544	2096
28868	84	135	75	68	96	90	43	95	98	107	156	69
61923	649	650	534	680	820	352	345	557	982	928	1031	820
49741	51234	39250	16774	52870	36891	30812	23956	42553	37283	29678	32258	36626
41082	14	12	17	22	14	20	47	55	14	30	22	25
27622	1722	2490	2232	1232	911	1459	1615	1966	1806	1438	1685	1477
60384	3572	5844	4343	2952	4573	5526	4284	3469	2313	5896	5062	5080
36413	271	299	324	503	468	506	352	324	461	350	279	359
91230	339	436	1008	741	833	711	647	318	571	918	313	817
37628	2458	3566	2365	2939	1536	1441	1381	2631	1725	1322	1885	1882
100651	35	28	27	64	36	27	53	43	31	31	44	32
82837	229	392	491	576	380	327	574	557	995	423	535	449
83708	28	22	22	22	23	10	21	65	21	38	35	21
76430	48	17	24	26	36	34	33	49	49	44	39	43
91271	29	33	27	56	62	62	32	68	41	59	47	32
40874	152	149	173	148	108	114	180	140	106	125	58	107
26655	214	174	180	189	172	306	216	111	302	234	190	260
99459	620	389	314	390	331	403	228	303	905	359	379	458
32051	17	9	4	12	6	6	14	11	16	4	10	9
63856	10744	11965	9738	6629	9928	11589	10394	9061	11527	8207	5700	10282
38062	1934	1812	1548	1258	1384	1338	3041	3960	2111	2193	3186	2819
70882	677	1254	838	669	839	501	921	754	1059	428	457	986
41382	111	100	68	57	53	73	66	52	35	84	66	26
26412	101	170	128	146	116	163	239	378	239	301	295	166
98057	742	436	584	400	699	591	734	188	247	292	309	855
87591	580	394	484	187	302	599	423	778	567	837	504	608
60904	6	4	4	13	3	3	8	7	3	6	4	6
60331	713	644	842	601	518	598	462	608	1158	596	381	974
86910	47996	69565	35241	51082	41057	51417	86552	68608	63750	41142	72198	62983
31527	3	0	0	4	3	8	3	4	3	5	2	6
79330	1260	446	852	1548	594	859	775	1500	1700	1199	885	1701
54621	321	310	203	338	357	466	277	390	213	512	411	161
68092	120	185	93	93	118	158	85	113	98	93	155	110
90585	3246	2954	3229	3184	1882	2515	1519	2928	2520	1378	2049	2111
67131	28	5	13	10	25	16	16	18	16	15	22	16
65622	131	137	137	453	157	200	249	300	229	236	183	235
53779	2311	2787	4824	3404	4143	3513	3380	2497	2280	5504	2646	3320
92976	46	145	43	89	115	130	122	214	160	211	282	248
85996	66	96	49	75	61	125	90	75	81	90	71	87
71067	209	305	212	246	165	156	116	98	225	308	87	107
69026	66	64	48	109	51	80	181	90	129	83	118	143
73351	3521	2903	2500	4008	2184	4645	5236	3733	3481	2667	3725	2448
65449	27	34	32	40	17	31	30	25	19	21	16	38
49249	997	447	1273	1381	724	900	922	582	562	1188	754	749
70914	9	8	5	12	20	18	15	8	14	12	10	10
98659	844	495	676	636	684	651	610	359	533	456	780	554
78232	78	75	120	152	185	133	567	308	93	296	219	233
90446	0	1	1	1	1	1	1	0	0	2	1	2
27647	169	198	149	163	146	137	210	180	179	106	135	134
12393	14	23	20	23	25	10	2	9	9	19	24	28
40793	56	58	68	37	80	44	78	73	64	27	89	110
32505	4351	5585	5819	3531	3053	3526	2307	4355	2241	4428	5046	3898
25356	20	10	10	18	21	12	20	19	18	16	9	14
31511	16	18	29	18	14	21	11	26	23	10	22	21
40940	3029	3448	2527	3312	3834	2701	5299	5263	9740	6089	3751	5426
27908	176	181	86	195	182	108	132	232	163	150	90	130
76637	4959	2695	6454	4242	2663	2595	5036	7879	8418	5774	6490	4846
28370	252	321	577	388	438	387	331	179	221	496	349	125
71855	23	22	41	22	15	29	32	35	33	62	23	27
12002	121	196	238	131	198	135	138	126	140	117	140	140
74078	1064	1518	1603	1595	2217	2144	1660	2274	1661	2190	2129	2474
98225	1032	853	1444	634	929	826	713	1046	1054	1549	691	894
87621	157	107	182	142	194	106	139	159	121	143	165	115
61978	282	215	66	98	157	229	196	128	246	242	155	152
51915	125	64	59	155	84	114	153	159	135	94	150	117
44254	77	42	72	45	44	25	39	47	42	43	36	53
30285	7012	7063	6457	10561	8068	8220	5808	7367	3660	10518	6766	7752
75974	157	198	254	190	139	179	124	140	313	138	174	102
24151	12	7	17	19	24	15	15	18	19	12	13	3
31838	44	46	134	32	64	51	73	55	45	74	69	53
95743	623	640	785	657	959	605	395	1812	1137	1108	830	1494
66640	384	447	705	785	572	404	437	681	817	673	709	584
45629	73	93	171	130	201	143	108	79	127	76	104	156
69249	54	37	72	61	62	68	64	27	56	37	76	45
69967	154	296	105	193	151	203	123	109	117	140	110	251
70238	6	5	2	6	4	3	0	1	3	7	13	3
52598	2	9	6	20	20	10	16	36	13	18	18	57
23470	789	761	1682	1003	765	590	1297	1347	1381	751	1569	2679
99137	59	74	54	120	67	35	56	73	39	47	38	71
35879	444	279	403	163	434	482	344	352	401	247	236	352
52768	1944	3041	1542	1674	3842	2395	4406	2942	4888	3069	3299	2654
98716	491	799	668	694	505	513	643	775	893	734	575	705
23082	180	245	256	175	123	127	153	172	244	160	143	165
98551	7762	11568	10828	19490	17093	21268	18027	18008	15646	15138	10716	7767
26219	442	843	843	512	845	482	986	383	757	782	551	1140
71282	71	72	87	64	46	109	76	46	53	78	81	69
60134	746	564	450	573	563	437	687	871	700	615	858	692
50039	360	420	402	443	216	266	322	415	398	416	338	437
55681	31	26	44	34	25	24	30	29	34	32	18	16
71082	197	216	140	186	157	116	231	183	216	248	105	228
85532	95	117	100	116	91	70	150	93	126	47	67	127
51640	2	2	4	1	4	4	1	2	6	3	1	3
94244	107	108	99	80	186	97	167	54	121	111	189	176
12766	104	139	50	16	51	125	85	69	193	121	66	35
69180	42	98	79	85	73	79	68	78	62	92	41	90
75224	2	3	5	6	7	10	17	4	7	5	6	10
53618	32	98	76	86	102	111	83	92	59	58	103	81
88674	211	156	97	70	248	196	73	155	102	175	140	157
53476	244	151	179	267	115	227	132	222	287	109	202	109
