	GSM1275862_untreated	GSM1275862_dex	GSM1275863_untreated	GSM1275863_dex	GSM1275870_untreated	GSM1275870_dex	GSM1275871_untreated	GSM1275871_dex
ENSG00000240043	11	15	15	23	22	12	3	8
ENSG00000231882	17474	15957	19171	12912	11602	20074	19937	14259
ENSG00000142942	47	173	115	77	68	92	110	83
ENSG00000188382	68	129	98	151	52	89	81	121
ENSG00000106583	0	0	0	0	0	2	1	0
ENSG00000108894	225	136	219	129	125	92	147	144
ENSG00000124129	177	75	97	136	140	80	97	55
ENSG00000153400	40	87	67	42	64	81	67	53
ENSG00000215655	549	254	755	522	648	402	912	385
ENSG00000191449	181	119	98	71	88	77	256	77
ENSG00000109783	485	246	621	320	718	312	525	209
ENSG00000175847	19	34	34	42	57	35	40	32
ENSG00000163909	6	10	24	13	18	6	18	11
ENSG00000123355	135	122	251	180	233	257	120	95
ENSG00000202634	381	259	390	528	225	587	443	427
ENSG00000165596	558	390	545	565	445	951	400	646
ENSG00000114086	202	145	366	218	318	232	673	196
ENSG00000135470	16	32	30	18	22	17	37	23
ENSG00000195197	120	147	69	100	136	129	77	78
ENSG00000102771	100	73	99	63	113	61	154	103
ENSG00000231498	6	15	17	16	5	15	6	18
ENSG00000202703	308	170	256	260	281	290	244	315
ENSG00000128540	71	108	107	127	63	131	137	68
ENSG00000172373	10	7	13	8	12	11	13	17
ENSG00000196768	67	58	99	50	48	90	101	98
ENSG00000179785	434	376	364	376	418	257	559	594
ENSG00000164153	3534	1753	3968	3731	2565	2107	2241	3184
ENSG00000193696	4	0	2	0	3	0	3	2
ENSG00000126451	72	97	125	50	89	66	55	52
ENSG00000198217	311	276	229	248	486	436	349	583
ENSG00000111636	919	1191	1058	1092	1578	978	978	1921
ENSG00000100343	285	369	324	442	275	323	274	196
ENSG00000170250	26	17	29	15	8	25	15	23
ENSG00000162865	61	57	50	44	31	76	88	28
ENSG00000202263	318	115	271	153	165	98	244	142
ENSG00000233190	24	32	37	46	13	26	25	28
ENSG00000249865	19	18	20	16	15	21	21	15
ENSG00000228894	14	9	9	6	13	15	8	10
ENSG00000240187	19197	10459	25776	17129	26389	27817	17523	22269
ENSG00000174963	116	170	160	143	168	164	267	106
ENSG00000210302	42	43	54	102	49	113	88	111
ENSG00000179662	356	673	503	840	413	137	525	364
ENSG00000110647	165	169	192	56	285	208	327	91
ENSG00000105777	92	152	80	64	90	75	106	89
ENSG00000127828	311	202	134	276	219	296	125	195
ENSG00000208114	26	47	49	50	34	33	23	30
ENSG00000164935	82	40	39	53	56	74	52	47
ENSG00000209936	1243	1401	583	781	658	691	840	1204
ENSG00000214955	678	647	455	413	446	263	511	358
ENSG00000155473	9	22	9	13	18	24	18	12
ENSG00000171208	3747	3489	3466	2971	3071	1577	2913	3637
ENSG00000173948	67	60	75	72	36	40	74	32
ENSG00000182698	7	10	3	12	4	4	14	7
ENSG00000121207	411	477	414	373	437	583	589	600
ENSG00000184106	683	416	431	295	604	436	496	774
ENSG00000153094	139	198	209	256	253	281	184	460
ENSG00000117502	18	22	16	23	15	30	10	15
ENSG00000231367	1037	2691	793	1975	1820	1989	1925	2099
ENSG00000104837	284	670	509	225	382	556	577	398
ENSG00000185274	227	305	301	573	269	300	261	318
ENSG00000163291	199	201	376	231	215	194	161	166
ENSG00000244319	320	441	385	378	299	296	195	350
ENSG00000148398	7634	9816	10418	12857	10528	11470	9387	13787
ENSG00000150134	80	51	80	42	105	58	104	21
ENSG00000133973	225	117	363	266	286	144	246	283
ENSG00000242792	1503	2241	1385	1584	1431	1511	987	823
ENSG00000138099	1218	931	1065	1124	679	740	1043	497
ENSG00000193305	36	25	36	26	27	30	31	25
ENSG00000133622	170	134	63	99	156	73	147	166
ENSG00000171738	66	86	28	73	29	62	123	40
ENSG00000235274	9	6	5	4	3	12	6	14
ENSG00000194513	99	124	211	115	104	97	90	70
ENSG00000215301	858	1315	979	623	1339	1188	992	971
ENSG00000216726	193	208	389	287	152	157	375	293
ENSG00000146236	1035	2149	1910	1880	893	1594	1152	855
ENSG00000136648	461	298	203	272	518	205	250	295
ENSG00000138476	35	46	29	49	39	31	43	28
ENSG00000146720	457	385	335	350	343	377	650	248
ENSG00000185039	10	1	11	4	11	7	12	5
ENSG00000162714	1881	1728	2557	1375	1718	1193	1257	1230
ENSG00000135438	43	77	72	96	75	83	86	44
ENSG00000115867	3773	4104	4415	3862	7495	3690	4949	3822
ENSG00000245339	5	13	11	6	9	9	2	4
ENSG00000186109	33	42	15	24	24	27	22	22
ENSG00000236123	67	56	27	47	52	30	95	88
ENSG00000181726	174	63	171	125	181	56	198	87
ENSG00000134324	8	2	6	6	11	5	8	6
ENSG00000226624	12	7	5	11	8	10	10	3
ENSG00000119081	330	477	258	358	387	216	478	306
ENSG00000124484	22	23	18	40	18	38	14	37
ENSG00000143572	546	1012	755	743	708	509	514	783
ENSG00000144679	3959	3658	2870	2512	4158	3964	6944	3095
ENSG00000165517	6	7	7	13	6	2	9	8
ENSG00000142200	82	75	72	96	51	53	67	59
ENSG00000228967	2852	6771	3545	6210	3311	7094	5965	6279
ENSG00000116987	910	1781	983	871	1312	1166	1208	1478
ENSG00000222815	8	10	11	4	11	18	7	9
ENSG00000238798	523	185	544	258	316	295	168	275
ENSG00000113791	5115	4673	4332	4354	3697	3761	3306	3752
ENSG00000202371	8	1	6	3	6	3	3	2
ENSG00000180815	215	203	356	227	337	377	214	364
ENSG00000197857	1707	1071	1429	715	2352	751	1811	950
ENSG00000202147	49	60	105	18	42	52	50	62
ENSG00000164222	20	67	42	30	82	65	58	24
ENSG00000173578	280	624	700	966	492	785	1273	495
ENSG00000131956	10	4	3	5	8	1	6	12
ENSG00000236715	392	706	403	305	697	465	493	648
ENSG00000160966	2274	1283	2835	3582	1553	1115	2197	2707
ENSG00000147343	213	58	121	256	148	316	152	149
ENSG00000231306	8	1	4	10	13	4	6	1
ENSG00000116742	5825	3758	2743	5350	4764	2730	3755	1946
ENSG00000132988	163	179	113	129	129	156	133	143
ENSG00000238324	1029	325	814	297	820	537	1152	561
ENSG00000164788	28	21	21	14	28	8	24	10
ENSG00000230532	146	172	114	141	144	112	160	204
ENSG00000133314	2655	956	4031	608	2623	2198	2245	1098
ENSG00000130709	10	5	5	3	8	2	1	6
ENSG00000161269	8	12	14	3	11	11	7	13
ENSG00000228521	1	2	3	1	0	0	3	4
ENSG00000199386	224	356	465	474	317	254	329	299
ENSG00000183106	319	407	292	517	253	321	347	281
ENSG00000239778	37	35	34	41	26	16	14	17
ENSG00000130008	283	355	367	118	252	314	242	322
ENSG00000244591	213	104	155	174	110	108	174	211
ENSG00000241541	9115	5266	6570	8599	8046	7620	5259	5512
ENSG00000149297	6	6	11	24	7	30	6	19
ENSG00000214665	170	327	224	250	158	153	343	190
ENSG00000194594	74	70	51	52	73	67	49	56
ENSG00000217542	9096	4832	6680	6402	7227	5259	7880	8013
ENSG00000200370	207	356	382	127	326	319	300	288
ENSG00000236293	18	11	24	12	19	13	18	9
ENSG00000113722	245	193	186	383	227	220	323	328
ENSG00000130289	253	111	264	90	180	102	251	117
ENSG00000150298	16	4	17	20	23	19	17	16
ENSG00000162594	181	221	279	305	348	374	395	424
ENSG00000147109	570	232	312	279	423	207	536	202
ENSG00000221764	17	7	7	24	16	15	14	18
ENSG00000160635	43	71	36	72	51	94	59	55
ENSG00000184908	1269	872	1769	1105	1627	1364	750	1711
ENSG00000132350	711	1484	1086	1063	1274	979	1466	1402
ENSG00000115564	67	147	89	145	85	79	183	60
ENSG00000172432	99	78	45	40	40	90	100	68
ENSG00000101098	356	184	386	202	153	280	149	199
ENSG00000103818	120	109	115	155	66	90	124	151
ENSG00000187536	12	22	21	9	21	8	18	15
ENSG00000125677	660	653	400	296	608	444	558	417
ENSG00000228892	48	19	29	32	24	17	28	23
ENSG00000205824	691	3153	2130	2425	2908	3898	1626	1219
ENSG00000174982	598	365	586	459	175	629	412	634
ENSG00000145430	765	449	975	344	915	716	356	666
ENSG00000220322	85	73	52	37	87	73	140	61
ENSG00000120547	112	201	84	216	242	175	248	208
ENSG00000102335	67	58	53	50	62	53	76	62
ENSG00000238942	36	58	58	106	66	48	45	125
ENSG00000212356	18	12	10	9	12	21	16	31
ENSG00000247854	1903	2166	1775	1899	2474	2324	1817	1432
ENSG00000120510	24	16	20	7	55	17	8	17
ENSG00000109697	5676	4048	1891	2387	3071	5516	2051	3933
ENSG00000133852	787	625	948	525	642	455	377	807
ENSG00000173016	25	16	24	12	22	18	19	30
ENSG00000241328	1658	1496	1508	3212	2515	1590	2226	4116
ENSG00000130269	309	163	312	420	320	353	536	217
ENSG00000134929	24	36	23	20	35	27	24	9
ENSG00000170724	317	348	227	315	345	266	139	318
ENSG00000189698	36	71	80	68	51	51	32	47
ENSG00000173825	36	29	23	50	31	17	51	48
ENSG00000179925	171	89	86	135	134	145	98	134
ENSG00000108084	228	213	323	279	198	249	244	208
ENSG00000161607	61	46	93	57	101	128	80	78
ENSG00000103529	168	131	106	132	88	123	50	145
ENSG00000171557	346	417	611	893	789	613	1015	839
ENSG00000115160	103	54	79	55	128	101	104	68
ENSG00000235825	119	69	43	77	106	93	103	79
ENSG00000114533	13	11	7	7	9	10	11	8
ENSG00000192852	77	58	144	95	104	138	160	100
ENSG00000211490	51	44	63	37	57	68	75	57
ENSG00000155332	85	132	52	83	78	105	91	101
ENSG00000210734	525	902	732	1416	721	372	675	793
ENSG00000180535	1158	891	948	806	801	705	731	1018
ENSG00000140919	85	117	111	192	172	134	256	140
ENSG00000234609	43	50	45	60	94	60	46	80
ENSG00000154654	117	118	212	171	157	170	103	174
ENSG00000132723	291	180	147	87	278	124	339	235
ENSG00000247257	398	138	304	235	164	230	180	140
ENSG00000149086	14	13	19	18	18	1	29	3
ENSG00000236542	405	183	321	369	358	357	334	290
ENSG00000209251	28	15	19	25	17	24	18	17
ENSG00000228513	232	448	266	293	148	328	277	101
ENSG00000236824	344	223	471	440	539	361	466	347
ENSG00000115509	189	187	274	228	167	191	159	282
ENSG00000109779	2046	2121	1550	1159	953	2682	2338	861
ENSG00000141400	105	117	163	169	140	150	184	193
ENSG00000130148	289	113	227	141	121	266	144	344
ENSG00000140509	9	7	19	25	25	25	52	29
ENSG00000111530	105	46	224	91	172	100	111	135
ENSG00000208460	80	33	69	111	57	116	132	129
ENSG00000236833	132	168	135	121	152	116	189	136
ENSG00000169628	48	118	80	119	167	64	98	88
ENSG00000218297	1	0	0	1	2	5	3	1
ENSG00000156959	396	1090	643	793	347	537	715	739
ENSG00000146564	1003	468	1205	593	1366	684	994	1123
ENSG00000115735	0	1	4	2	2	1	2	4
ENSG00000205109	262	263	137	324	182	266	232	245
ENSG00000155341	997	1282	2010	530	609	1096	1193	919
ENSG00000138144	469	496	642	610	712	735	534	530
ENSG00000217638	1270	320	955	369	958	494	1027	488
ENSG00000168584	420	127	186	97	187	158	179	108
ENSG00000211459	54	55	20	43	31	63	35	49
ENSG00000100460	5071	6542	5290	7255	4331	9118	7191	5168
ENSG00000136114	238	361	463	411	279	365	248	367
ENSG00000150932	5408	7401	6691	3260	7546	7119	8548	3958
ENSG00000187914	177	183	64	100	133	152	127	94
ENSG00000234691	1597	730	524	610	1070	1572	1327	1020
ENSG00000109315	725	815	908	570	831	672	488	891
ENSG00000166127	440	510	763	620	769	851	874	849
ENSG00000117913	10	17	16	4	10	18	16	14
ENSG00000104826	20804	15775	16691	18434	23973	18245	23793	18055
ENSG00000169044	336	485	412	260	316	254	278	320
ENSG00000214007	111	78	68	69	87	84	57	93
ENSG00000224753	273	229	78	243	199	385	345	184
ENSG00000101793	2	4	4	2	8	3	10	6
ENSG00000206192	2393	2317	1527	3009	2790	3392	2146	3228
ENSG00000139824	108	89	61	113	89	87	33	29
ENSG00000223641	356	219	153	271	277	436	195	203
ENSG00000152371	123	123	122	173	187	233	119	195
ENSG00000116426	9	5	1	4	3	0	5	4
ENSG00000225080	51	48	104	75	82	72	34	112
ENSG00000129932	1513	2754	1513	2340	2494	2051	1983	2745
ENSG00000181492	15	34	28	34	16	32	33	37
ENSG00000240045	174	267	529	309	204	322	268	152
ENSG00000136581	930	1861	1363	1893	1089	1111	1134	1059
ENSG00000126976	12049	4336	8090	2524	5773	5430	6739	1805
ENSG00000116307	29	45	20	23	28	23	39	36
ENSG00000130856	1037	1576	1710	1146	1665	1399	1045	1471
ENSG00000187702	598	714	873	367	251	377	370	850
ENSG00000225410	363	364	448	511	583	555	589	432
ENSG00000109215	583	1067	1235	1100	726	1044	1637	1068
ENSG00000198612	901	452	385	539	1049	853	408	636
ENSG00000189021	14	42	26	14	45	18	17	27
ENSG00000105160	277	365	376	380	671	313	567	372
ENSG00000139694	29	65	35	71	30	62	44	80
ENSG00000118174	218	375	239	282	173	523	334	560
ENSG00000109020	76	41	48	106	58	106	73	84
ENSG00000120931	2414	4325	3036	4514	4658	2144	5014	2271
ENSG00000216899	2453	868	2821	939	2560	1237	1703	1582
ENSG00000210622	646	373	757	380	422	524	410	425
ENSG00000217412	33	46	55	79	56	70	45	43
ENSG00000133674	539	651	479	574	515	473	484	525
ENSG00000246231	16	29	22	15	32	7	21	26
ENSG00000240429	23	23	42	24	23	47	24	31
ENSG00000172326	5	14	7	3	6	7	4	3
ENSG00000224983	764	1499	904	1474	1106	1143	1196	1752
ENSG00000217110	34	30	63	54	41	97	78	40
ENSG00000101736	1365	1007	1392	1864	979	757	807	1124
ENSG00000232193	1735	2991	1374	1362	2401	1112	1761	1840
ENSG00000210492	951	2633	1008	1742	1672	1031	810	853
ENSG00000222871	74	75	74	51	83	102	102	90
ENSG00000218586	1360	1375	4133	4145	3870	4137	2796	3192
ENSG00000174157	1597	1803	1746	2045	2497	2293	1374	1072
ENSG00000132889	3	18	19	19	22	5	11	26
ENSG00000100886	504	213	411	424	454	361	448	461
ENSG00000163930	33	29	16	28	28	48	45	25
ENSG00000124658	144	68	255	137	268	120	233	170
ENSG00000213598	1630	2361	2733	1903	1510	2299	1273	2437
ENSG00000146417	301	232	311	262	225	195	192	487
ENSG00000140850	4130	3508	2610	5330	3327	3632	3966	4229
ENSG00000118318	460	844	841	669	1092	274	397	700
ENSG00000246014	826	411	961	1156	774	483	566	868
ENSG00000200826	7501	2660	8060	3747	4630	3252	5973	3024
ENSG00000200756	2004	3632	2776	2036	3670	1534	1461	2728
ENSG00000128039	1790	842	915	452	869	1133	1626	830
ENSG00000149906	3360	3863	3016	2175	3207	2984	3509	2111
ENSG00000230183	1360	1405	1554	2116	834	2099	3240	1235
ENSG00000126128	7	8	8	6	16	12	16	6
ENSG00000131047	21	14	23	17	30	21	32	19
ENSG00000246850	306	171	225	256	313	228	127	187
ENSG00000201691	2373	1465	1198	2119	932	1114	1641	1900
ENSG00000215922	61	54	78	53	147	41	65	52
ENSG00000111546	10	9	12	7	15	13	24	7
ENSG00000127085	178	167	125	171	121	172	87	176
ENSG00000157628	38	66	46	31	27	44	47	46
ENSG00000198955	4223	2138	7619	2472	2596	3844	3113	2195
ENSG00000198414	3	1	2	1	0	3	2	2
ENSG00000151704	879	926	795	509	1152	680	1150	593
ENSG00000130001	567	505	483	665	178	801	723	604
ENSG00000118908	0	1	2	0	0	4	0	1
ENSG00000169459	25	44	15	25	18	17	52	12
ENSG00000207076	77	74	81	114	154	110	121	120
ENSG00000110141	318	263	414	311	359	269	350	337
ENSG00000124243	106	276	148	105	159	162	199	74
ENSG00000173834	597	473	592	896	537	823	586	566
ENSG00000147569	196	141	299	208	261	107	209	290
ENSG00000100468	65	34	27	21	34	47	36	36
ENSG00000186072	2577	4381	7996	2500	3319	5974	6814	3610
ENSG00000224537	247	202	528	427	233	284	195	289
ENSG00000220879	34	13	46	22	31	16	24	13
ENSG00000249396	861	342	709	807	776	397	928	442
ENSG00000156757	147	147	196	215	202	126	154	154
ENSG00000137101	86	85	51	89	48	75	86	100
ENSG00000171079	33	31	39	36	51	50	82	52
ENSG00000181269	33	12	16	6	12	6	19	10
ENSG00000238402	17	31	28	22	29	38	18	32
ENSG00000230484	5	20	12	15	8	14	17	14
ENSG00000108541	6	0	5	1	1	3	4	1
ENSG00000156327	419	303	890	321	380	167	356	418
ENSG00000201016	362	270	349	287	345	313	421	174
ENSG00000159386	50	174	72	168	168	158	64	222
ENSG00000164179	13	30	19	11	20	15	20	23
ENSG00000200778	34	34	39	31	46	23	27	58
ENSG00000128808	2474	3366	5723	5065	2673	4396	2093	2410
ENSG00000166276	17	14	25	35	34	36	40	31
ENSG00000214335	828	1366	575	1274	789	763	927	881
ENSG00000245349	214	325	288	370	308	177	318	192
ENSG00000170958	696	296	298	283	358	448	477	424
ENSG00000122464	70	53	56	70	94	47	41	64
ENSG00000132771	126	114	183	95	149	222	114	79
ENSG00000245291	116	159	255	122	196	208	139	115
ENSG00000160508	19	18	26	24	23	8	27	10
ENSG00000172698	1344	2130	1892	3106	2371	2867	3471	3462
ENSG00000235765	25	27	37	24	42	27	24	49
ENSG00000243864	383	266	563	303	725	370	787	274
ENSG00000150453	10962	4563	5533	3556	11138	3244	10468	4148
ENSG00000109052	3655	3171	4439	3221	2735	3209	3144	4564
ENSG00000100718	47	52	56	40	38	36	70	28
ENSG00000136546	611	256	751	605	303	422	286	312
ENSG00000178373	1223	938	1456	1494	849	1286	1452	1133
ENSG00000158530	3	1	0	0	1	5	8	1
ENSG00000134196	8687	6475	11069	7889	14317	9436	8325	3449
ENSG00000169785	301	463	639	461	384	488	452	404
ENSG00000182722	94	129	123	62	51	82	96	102
ENSG00000191111	147	60	177	212	148	154	128	127
ENSG00000217188	6	2	5	2	3	1	6	2
ENSG00000226303	861	751	430	1082	746	361	833	642
ENSG00000198301	13162	6332	6941	3998	8872	5053	9236	3088
ENSG00000189460	105	129	93	83	178	58	88	219
ENSG00000115585	3547	5059	3395	2628	4836	5702	3161	4921
ENSG00000122996	931	701	462	994	621	702	1285	494
ENSG00000194992	6	15	12	19	14	10	18	3
ENSG00000115994	384	616	649	805	517	734	432	441
ENSG00000104220	4	4	4	2	3	2	4	0
ENSG00000208881	5	0	5	6	8	2	1	3
ENSG00000219003	500	476	615	511	255	728	779	534
ENSG00000116570	646	523	971	515	480	754	488	547
ENSG00000214681	147	93	106	97	241	206	157	162
ENSG00000122113	127	108	164	49	123	84	93	99
ENSG00000116515	6	7	7	12	2	7	8	8
ENSG00000106287	1247	1302	1574	1001	1166	1554	1612	1014
ENSG00000104043	149	173	192	205	230	158	128	122
ENSG00000217166	105	180	94	121	107	180	165	107
ENSG00000186119	55639	38135	57248	59322	21819	42219	62183	52558
ENSG00000195413	494	320	284	238	193	438	143	272
ENSG00000149844	76	128	94	147	101	178	97	74
ENSG00000120398	8903	15009	5187	10305	14277	5687	9829	5228
ENSG00000180281	259	268	273	229	350	233	176	320
ENSG00000185922	87	109	67	35	81	42	35	59
ENSG00000215343	4042	4405	2797	2077	5526	2704	3303	2289
ENSG00000162284	75	191	196	117	134	123	166	197
ENSG00000121727	24	29	36	28	49	33	22	34
ENSG00000178320	121	83	62	95	76	158	100	113
ENSG00000117428	183	280	169	149	179	158	392	245
ENSG00000127704	1256	979	890	552	1652	958	806	1293
ENSG00000184308	2085	1293	1459	1755	2526	3272	2968	2740
ENSG00000146362	34	17	35	15	23	11	39	18
ENSG00000237792	1597	2418	2053	2680	1711	1923	1693	2683
ENSG00000195861	43	31	37	51	53	65	44	78
ENSG00000157639	117	47	62	75	64	52	70	47
ENSG00000148321	3	4	3	3	3	2	2	1
ENSG00000149991	4708	4832	7429	5423	5155	2845	10098	4600
ENSG00000194069	573	677	465	615	574	441	392	427
ENSG00000190355	126	140	115	196	71	136	82	117
ENSG00000173383	87	78	259	98	172	104	148	160
ENSG00000169787	840	879	1435	1269	1041	1159	879	663
ENSG00000191534	269	190	579	148	679	132	396	131
ENSG00000225685	0	0	0	0	0	1	0	0
ENSG00000247725	366	280	605	311	421	536	329	242
ENSG00000223551	173	222	282	67	193	121	127	278
ENSG00000233411	181	184	265	316	324	176	372	127
ENSG00000176049	370	228	134	88	364	204	116	238
ENSG00000184629	954	1078	956	1358	1553	1528	829	839
ENSG00000206046	43	60	43	46	51	75	26	42
ENSG00000106974	18846	23233	19971	22652	30877	28064	25290	13696
ENSG00000165389	284	365	162	264	204	340	269	299
ENSG00000194808	41	64	19	46	43	37	24	31
ENSG00000166883	405	203	362	326	505	191	271	253
ENSG00000210102	4	13	4	2	3	7	1	2
ENSG00000107816	103	184	221	107	99	50	212	183
ENSG00000221229	35	39	46	51	59	43	54	32
ENSG00000179026	21	30	10	17	25	42	36	31
ENSG00000185367	1013	925	759	520	848	1072	1315	694
ENSG00000220462	335	332	203	381	331	245	313	195
ENSG00000123630	28	40	14	18	27	38	12	36
ENSG00000122775	60	81	39	46	7	46	47	55
ENSG00000155710	426	307	429	287	421	411	189	304
ENSG00000113892	19645	12855	23269	9067	14421	13228	18222	8007
ENSG00000100137	228	104	165	177	204	161	285	133
ENSG00000111501	194	161	237	108	197	95	240	131
ENSG00000202152	743	658	331	596	463	505	635	300
ENSG00000172117	5	32	19	7	15	11	15	20
ENSG00000164844	120	199	173	94	110	221	133	209
ENSG00000197326	905	639	976	891	764	1043	760	1046
ENSG00000124516	398	219	575	533	613	303	391	665
ENSG00000158498	300	433	364	515	271	246	687	368
ENSG00000172430	22	18	11	24	24	27	11	6
ENSG00000173321	219	271	323	211	185	175	132	206
ENSG00000164796	4690	3331	3215	3841	6709	2472	6453	3600
ENSG00000241135	53989	52566	39006	41194	21327	38548	36868	37053
ENSG00000154299	1264	1936	1165	1249	1251	1628	947	1652
ENSG00000146895	37	48	45	84	70	64	66	84
ENSG00000247652	67	43	62	71	73	46	65	49
ENSG00000128128	132	129	96	123	38	108	87	118
ENSG00000137600	7459	7738	6951	22469	9303	6007	8943	10315
ENSG00000240838	6	7	21	10	22	11	20	12
ENSG00000123395	117	110	189	98	83	92	130	158
ENSG00000228010	14	6	7	8	3	7	10	8
ENSG00000136752	74	138	35	88	126	68	81	112
ENSG00000194681	177	117	164	105	160	90	204	123
ENSG00000148650	1040	1488	866	1119	635	2072	1052	799
ENSG00000186098	723	1104	918	1051	464	364	829	890
ENSG00000145131	387	273	175	259	324	404	309	392
ENSG00000216054	100	69	140	71	114	110	100	143
ENSG00000195045	129	89	63	81	105	39	52	68
ENSG00000136814	2597	3949	9736	2847	8266	7819	5597	7009
ENSG00000164465	139	118	122	178	125	154	98	66
ENSG00000199893	36	14	10	30	16	9	16	21
ENSG00000124376	26	20	30	68	29	24	26	54
ENSG00000163090	175	209	528	217	416	218	515	176
ENSG00000145481	34	40	44	24	44	35	25	47
ENSG00000115770	6	15	10	10	6	11	6	4
ENSG00000241463	722	1274	1485	1284	914	751	1620	1336
ENSG00000163733	48	28	56	50	30	38	38	32
ENSG00000206872	198	302	107	157	85	151	104	153
ENSG00000163525	158	300	132	158	152	202	184	133
ENSG00000229220	138	87	138	64	80	112	127	100
ENSG00000180999	149	184	170	96	44	191	149	93
ENSG00000188642	0	0	0	0	1	2	3	2
ENSG00000212171	120	134	204	165	359	342	119	207
ENSG00000105065	58	100	88	123	105	47	55	81
ENSG00000116497	80	81	75	66	59	69	109	114
ENSG00000208281	157	136	194	176	272	202	109	239
ENSG00000234776	12919	28557	9160	12744	19354	14556	13184	16655
ENSG00000111956	7961	9555	6032	4484	4595	6062	5335	3533
ENSG00000199524	1180	1319	867	855	545	924	974	604
ENSG00000125837	3918	3717	3207	2934	3009	4135	4597	3894
ENSG00000160521	87	81	84	68	58	64	62	98
ENSG00000140263	157	202	66	125	126	79	186	329
ENSG00000184838	313	524	234	356	529	367	806	516
ENSG00000158314	960	1079	1502	746	612	1055	1163	1199
ENSG00000210982	692	314	912	744	1432	750	839	1280
ENSG00000214423	5701	11294	9706	7722	6512	6675	4408	8294
ENSG00000199606	103	112	143	76	131	139	160	139
ENSG00000164863	1632	3925	2193	1619	3099	2901	1806	3372
ENSG00000197932	82	68	64	77	34	62	86	92
ENSG00000100093	731	966	1419	532	751	624	586	494
ENSG00000105836	13	22	25	41	19	32	36	14
ENSG00000132270	2860	1054	2740	2950	2432	1537	2505	3006
ENSG00000159455	135	113	105	68	87	40	101	29
ENSG00000221318	5743	2672	4391	1559	7946	2028	4604	1460
ENSG00000168351	4	1	6	6	2	2	3	2
ENSG00000117062	4411	9142	7759	4952	7590	3808	2732	7632
ENSG00000140585	382	152	336	99	279	99	375	156
ENSG00000235892	416	662	503	230	728	456	379	319
ENSG00000115297	547	254	275	237	292	242	401	198
ENSG00000192628	30	9	6	6	24	4	7	7
ENSG00000105286	41	64	75	44	95	35	35	45
ENSG00000207260	36	50	38	73	14	26	67	51
ENSG00000105332	174	145	221	108	145	185	143	100
ENSG00000106715	9	1	18	2	10	8	6	8
ENSG00000236539	56	67	42	20	67	37	23	47
ENSG00000210972	224	198	166	236	272	216	223	215
ENSG00000235592	1488	2192	950	1193	1448	1473	2141	905
ENSG00000233148	1049	897	863	892	922	513	631	563
ENSG00000177229	25	9	34	13	42	10	22	7
ENSG00000143648	890	1183	1253	492	479	970	880	915
ENSG00000125884	2316	3205	4106	5537	4254	4831	4263	3441
ENSG00000186910	1050	527	1204	866	449	838	677	590
ENSG00000104771	106	69	63	144	72	108	89	60
ENSG00000117347	19	32	37	20	24	31	9	34
ENSG00000110095	82	92	56	55	73	52	71	89
ENSG00000101464	3984	5693	2943	3673	8521	7164	5462	4647
ENSG00000169484	42	15	29	8	20	23	12	30
ENSG00000136251	5	1	3	4	1	0	0	1
ENSG00000154539	1383	1398	1128	1328	924	845	1109	1006
ENSG00000121235	39	40	43	41	52	40	26	28
ENSG00000162775	135	121	130	140	150	85	225	128
ENSG00000168509	56	124	108	77	100	57	68	91
ENSG00000191101	1168	1959	1036	997	1504	1789	1095	1050
ENSG00000236571	70	122	96	36	81	73	48	106
ENSG00000116161	46	29	32	19	40	20	57	29
ENSG00000150157	20	34	53	28	30	17	27	52
ENSG00000107103	10942	3370	11801	7328	12467	7829	10141	3290
ENSG00000143329	2363	2257	3031	6089	3245	4843	2345	4895
ENSG00000151001	80	61	86	84	56	93	46	92
ENSG00000165438	59	65	66	56	47	61	32	87
ENSG00000243583	57	178	324	47	109	229	119	219
ENSG00000220859	749	552	429	444	569	619	551	704
ENSG00000155258	19	31	34	44	23	31	27	58
ENSG00000203253	3404	6199	4240	3016	4831	3206	4258	3933
ENSG00000145645	241	166	299	358	353	325	258	517
ENSG00000180664	1	2	0	1	1	1	6	1
ENSG00000119283	15	26	31	14	14	23	22	10
ENSG00000249890	61	106	101	73	87	107	123	76
ENSG00000198445	46996	27789	59567	21242	44853	30670	37133	20048
ENSG00000168279	3191	3990	5281	4795	8431	3999	4297	5365
ENSG00000235197	242	311	175	267	236	182	448	234
ENSG00000204144	16	21	11	13	24	9	16	19
ENSG00000184366	154	119	134	126	172	121	138	118
ENSG00000169091	164	143	185	182	257	195	145	133
ENSG00000104494	54	70	55	88	37	32	90	105
ENSG00000217996	382	163	373	373	297	265	331	317
ENSG00000205001	412	465	377	586	844	534	1141	1262
ENSG00000248282	42	84	35	104	25	86	43	76
ENSG00000178678	7	9	12	26	20	19	9	9
ENSG00000225914	144	171	279	137	322	202	247	307
ENSG00000111981	8	6	5	8	7	9	13	8
ENSG00000175279	52	83	73	30	50	95	38	33
ENSG00000223663	1324	1373	2445	1823	1652	1226	1391	1527
ENSG00000216056	150	179	202	205	90	152	107	277
ENSG00000195087	10	15	14	4	9	10	12	4
ENSG00000132755	243	139	250	137	217	82	397	210
ENSG00000188370	90	103	40	49	52	44	50	80
ENSG00000160327	98	152	228	199	149	121	221	138
ENSG00000169878	883	1297	543	845	843	744	1538	1273
ENSG00000111755	52	62	41	62	68	29	30	28
ENSG00000144103	10	4	9	13	4	11	12	14
