gene_id	GSM1275862_untreated	GSM1275862_dex	GSM1275863_dex	GSM1275870_dex	GSM1275871_dex
ENSG00000240951	1125	1035	1749	903	1955
ENSG00000129033	48	95	63	147	59
ENSG00000195381	458	464	428	374	332
ENSG00000184269	2	2	1	1	2
ENSG00000130391	369	475	320	493	520
ENSG00000243266	6	4	8	9	4
ENSG00000121163	401	255	339	381	329
ENSG00000128341	185	283	280	290	333
ENSG00000241217	321	198	340	471	280
ENSG00000117206	14382	10975	15160	13172	9862
ENSG00000127626	2	0	1	0	0
ENSG00000219802	668	515	315	254	484
ENSG00000156270	69	66	72	53	69
ENSG00000231731	363	457	340	994	629
ENSG00000223707	757	363	226	200	369
ENSG00000189824	150	109	177	145	160
ENSG00000175414	29	66	75	47	57
ENSG00000134999	31	41	36	38	51
ENSG00000186864	315	546	351	306	292
ENSG00000248096	22	5	6	7	15
ENSG00000189878	808	1558	575	1682	1770
ENSG00000224614	23	45	52	67	33
ENSG00000240140	309	324	401	286	411
ENSG00000211068	13	19	16	9	28
ENSG00000124634	268	190	379	447	437
ENSG00000174235	99	65	111	77	84
ENSG00000207931	763	671	480	415	832
ENSG00000173890	1601	980	3747	2442	2451
ENSG00000128349	61	53	45	69	29
ENSG00000218584	168	183	178	163	153
ENSG00000211099	266	245	216	291	235
ENSG00000204444	1668	3440	2722	1734	3806
ENSG00000143937	14	16	9	2	17
ENSG00000191698	573	282	652	392	791
ENSG00000223306	216	106	127	161	194
ENSG00000188526	5	19	13	15	8
ENSG00000155389	127	83	118	75	80
ENSG00000146378	40	45	49	25	33
ENSG00000128974	993	1173	1746	953	1623
ENSG00000224452	22	12	20	24	20
ENSG00000187388	1526	1564	770	1633	1399
ENSG00000245278	67	25	53	67	54
ENSG00000112077	461	445	687	1096	713
ENSG00000157766	6	7	2	11	5
ENSG00000238210	24	49	33	28	40
ENSG00000199748	136	284	143	161	182
ENSG00000188682	26	38	26	8	14
ENSG00000158213	8	2	11	9	4
ENSG00000102162	170	137	108	194	210
ENSG00000108156	644	705	767	984	700
ENSG00000168529	115	114	103	172	159
ENSG00000101573	67	90	152	83	122
ENSG00000156517	361	580	567	268	115
ENSG00000183531	53	45	59	51	82
ENSG00000128585	771	575	1054	293	1448
ENSG00000135561	1722	1532	1297	618	2123
ENSG00000171449	9	9	18	15	8
ENSG00000209949	1008	836	1424	1060	1682
ENSG00000165349	774	576	660	438	620
ENSG00000159892	251	190	477	346	301
ENSG00000148247	703	642	1070	450	656
ENSG00000175598	2730	3841	4531	1762	3352
ENSG00000147611	7206	5373	3487	7073	15460
ENSG00000233865	3789	4133	3151	3762	3519
ENSG00000108973	129	144	94	65	119
ENSG00000215614	1724	1231	1998	1820	3808
ENSG00000151265	2	7	3	5	10
ENSG00000198322	1624	652	935	1374	1381
ENSG00000197278	395	851	484	560	771
ENSG00000212290	832	1376	735	806	1163
ENSG00000191423	15	37	29	22	21
ENSG00000136888	3118	1688	1652	4062	2118
ENSG00000224368	2620	1269	2390	3554	2205
ENSG00000137064	200	158	245	198	198
ENSG00000159098	10	9	11	6	5
ENSG00000141678	282	462	297	439	310
ENSG00000224884	44	33	34	31	47
ENSG00000169616	6	9	4	7	12
ENSG00000144278	73	35	58	65	31
ENSG00000145806	12217	22836	16226	15471	19276
ENSG00000185767	3	12	9	14	13
ENSG00000159975	37	92	135	78	43
ENSG00000248891	132	159	147	170	270
ENSG00000188389	808	1060	993	872	1975
ENSG00000120725	9	24	28	34	8
ENSG00000174834	35	20	23	27	20
ENSG00000105899	2986	721	782	882	993
ENSG00000193830	182	278	276	417	128
ENSG00000126414	996	1705	1949	1590	2013
ENSG00000172980	25	4	20	22	18
ENSG00000206236	163	225	128	110	133
ENSG00000206038	539	1353	658	798	852
ENSG00000136428	105	153	275	206	119
ENSG00000208709	27	15	9	17	12
ENSG00000167576	139	284	129	127	83
ENSG00000154491	4	2	4	5	4
ENSG00000173882	31	28	13	29	23
ENSG00000189282	552	421	444	706	352
ENSG00000174193	819	741	926	959	1337
ENSG00000170543	298	280	421	462	328
ENSG00000159521	575	426	492	584	714
ENSG00000183673	11	12	9	9	15
ENSG00000140057	85	48	55	30	30
ENSG00000209705	819	1074	1255	1081	994
ENSG00000229208	19722	11969	19140	9084	11334
ENSG00000233113	298	309	348	568	265
ENSG00000200082	15	26	39	19	42
ENSG00000152703	17	10	25	35	11
ENSG00000223906	1237	1668	2018	1716	1493
ENSG00000176539	650	1060	1035	2576	676
ENSG00000106959	17	16	10	17	14
ENSG00000107019	294	165	246	189	133
ENSG00000134446	1398	2922	1363	1784	2092
ENSG00000115807	2375	3288	2412	3006	1686
ENSG00000136673	74	33	77	32	44
ENSG00000243463	117	167	115	65	143
ENSG00000207601	412	234	270	217	342
ENSG00000238191	20	25	7	9	9
ENSG00000184545	3	4	4	5	2
ENSG00000158492	79	37	63	55	28
ENSG00000111511	1085	1414	1187	2488	1165
ENSG00000241025	1466	1346	974	1338	797
ENSG00000130162	377	572	224	207	354
ENSG00000104221	14	14	8	19	10
ENSG00000166623	0	1	5	1	2
ENSG00000204620	19	17	6	18	16
ENSG00000175387	103	207	183	206	134
ENSG00000139482	756	558	969	1006	948
ENSG00000151831	32	30	19	23	20
ENSG00000114957	124	142	179	153	175
ENSG00000196963	6	4	3	4	0
ENSG00000108518	2	2	1	3	1
ENSG00000184295	81	90	117	99	192
ENSG00000163529	9	16	6	14	5
ENSG00000160981	15	4	6	7	10
ENSG00000223599	0	2	1	0	1
ENSG00000204297	704	386	617	560	678
ENSG00000209655	6	6	7	2	2
ENSG00000227475	91	105	115	137	60
ENSG00000122376	4	2	7	2	4
ENSG00000221902	57	98	29	40	89
ENSG00000107562	2002	1798	1789	2122	1737
ENSG00000121967	246	371	163	246	188
ENSG00000106902	254	110	124	69	48
ENSG00000149811	550	456	448	642	529
ENSG00000165054	301	384	573	304	264
ENSG00000235427	2107	2400	2175	2452	1722
ENSG00000204813	8	5	0	5	2
ENSG00000155442	750	980	1075	1429	1088
ENSG00000202307	125	196	78	135	92
ENSG00000168820	10	9	8	9	23
ENSG00000139204	769	522	533	394	342
ENSG00000130594	303	389	266	242	295
ENSG00000188211	119	88	164	91	101
ENSG00000108269	618	415	676	797	568
ENSG00000102909	5	8	13	4	8
ENSG00000174362	4	7	6	5	8
ENSG00000166525	45	53	44	20	28
ENSG00000220355	1362	1182	1450	874	393
ENSG00000156924	243	241	335	288	282
ENSG00000130239	86	164	169	48	160
ENSG00000148960	38	21	33	41	27
ENSG00000198016	77	106	170	134	149
ENSG00000201454	1144	1341	1477	1330	1194
ENSG00000216929	25	30	61	46	43
ENSG00000161655	23	40	34	44	52
ENSG00000152572	466	220	321	196	224
ENSG00000218537	502	282	591	326	277
ENSG00000213773	156	201	99	64	262
ENSG00000139914	1247	1125	2768	3026	5786
ENSG00000122263	208	146	171	146	163
ENSG00000248721	16	19	34	24	15
ENSG00000180697	0	1	2	3	1
ENSG00000172917	2070	1418	1121	1387	1531
ENSG00000109023	66	132	107	106	139
ENSG00000208603	81	241	209	185	232
ENSG00000186132	828	412	411	355	267
ENSG00000186198	2550	1242	1675	1849	2981
ENSG00000213519	1108	1699	825	898	725
ENSG00000140437	736	1177	563	957	630
ENSG00000245958	457	146	216	344	145
ENSG00000217730	143	88	153	80	86
ENSG00000119192	223	351	244	217	238
ENSG00000201997	10	31	10	34	18
ENSG00000227098	471	243	238	219	196
ENSG00000193001	2370	1579	1238	867	1029
ENSG00000176957	945	768	574	678	401
ENSG00000184718	351	236	62	114	202
ENSG00000184915	15	28	24	29	37
ENSG00000126569	35	47	48	34	14
ENSG00000110590	33	42	31	54	21
ENSG00000151701	26	57	76	32	99
ENSG00000243183	424	348	201	584	275
ENSG00000188886	392	470	292	429	385
ENSG00000128057	969	456	423	351	541
ENSG00000224608	1195	915	1374	976	1039
ENSG00000122292	10	30	17	30	24
ENSG00000162350	90	70	119	76	112
ENSG00000148797	611	351	527	284	447
ENSG00000210445	771	590	570	676	886
ENSG00000106152	33	29	69	43	35
ENSG00000166367	25	34	47	38	41
ENSG00000201660	1290	2056	2253	2025	2339
ENSG00000105839	579	556	204	374	542
ENSG00000142951	366	376	110	298	552
ENSG00000127157	105	55	81	107	57
ENSG00000150090	11	10	15	14	26
ENSG00000170006	152	160	136	144	139
ENSG00000203317	458	249	329	296	216
ENSG00000126024	425	568	325	420	406
ENSG00000158636	792	764	733	889	993
ENSG00000238754	160	197	234	203	149
ENSG00000158934	1251	2615	1889	2804	1065
ENSG00000130823	69	94	61	56	84
ENSG00000177525	307	231	425	189	366
ENSG00000181069	229	268	206	227	157
ENSG00000221819	3	6	5	2	3
ENSG00000170553	7	11	14	6	9
ENSG00000248101	38	54	30	70	60
ENSG00000124055	343	136	189	169	348
ENSG00000117105	195	202	260	102	453
ENSG00000171879	1838	1350	1436	3612	2683
ENSG00000249374	91	114	72	162	134
ENSG00000244883	68	44	91	90	45
ENSG00000151431	451	402	209	217	251
ENSG00000199153	9	15	14	9	13
ENSG00000244640	87	110	124	154	146
ENSG00000239995	17	13	21	16	11
ENSG00000186904	193	192	215	231	99
ENSG00000206399	23	18	58	54	25
ENSG00000116944	35	24	62	64	56
ENSG00000187348	8862	4354	4494	8569	6828
ENSG00000199403	1903	839	1488	1130	2464
ENSG00000235807	16046	25037	25433	25256	19039
ENSG00000239964	338	147	212	358	154
ENSG00000197233	256	72	101	125	161
ENSG00000199703	33	20	16	19	16
ENSG00000208297	105	149	127	47	116
ENSG00000239258	1	1	2	1	2
ENSG00000132776	103	251	233	167	122
ENSG00000177623	40	36	31	51	48
ENSG00000155006	5	10	16	5	13
ENSG00000187284	8	5	8	6	3
ENSG00000218908	12	15	30	26	35
ENSG00000136851	50	71	49	73	57
ENSG00000226489	216	114	107	140	147
ENSG00000203508	14	8	7	4	0
ENSG00000247768	128	115	171	81	118
ENSG00000186219	364	176	237	221	184
ENSG00000121757	9331	10358	9554	10205	7780
ENSG00000129532	197	249	203	226	269
ENSG00000167293	918	865	571	656	718
ENSG00000106878	38	28	29	40	60
ENSG00000122007	292	118	137	81	145
ENSG00000178307	39	45	31	22	25
ENSG00000215608	28	29	32	29	31
ENSG00000238863	329	445	476	344	319
ENSG00000123485	77	81	49	63	64
ENSG00000116028	2176	3939	2706	3665	1810
ENSG00000219735	135	116	190	179	127
ENSG00000142326	473	209	344	476	224
ENSG00000200493	13	9	7	14	9
ENSG00000199934	46	9	10	5	21
ENSG00000152444	260	787	747	431	239
ENSG00000244707	22	45	34	49	42
ENSG00000143492	1737	2682	1520	2002	1819
ENSG00000176210	24	25	32	26	37
ENSG00000126187	20	19	20	16	49
ENSG00000237599	4316	6657	9883	8344	9786
ENSG00000129671	1	4	1	4	4
ENSG00000192319	67	58	34	37	79
ENSG00000172563	531	161	627	310	314
ENSG00000119810	494	441	774	192	372
ENSG00000241958	17	13	17	15	17
ENSG00000240097	11980	12785	12112	13079	9452
ENSG00000243728	77	42	22	71	41
ENSG00000107301	6	4	3	0	3
ENSG00000249862	1312	1014	937	446	1120
ENSG00000168788	45	60	56	66	73
ENSG00000186217	181	135	168	101	94
ENSG00000209047	640	807	485	433	899
ENSG00000185605	21	38	32	10	14
ENSG00000104676	29	42	31	37	42
ENSG00000247841	87	130	51	121	140
ENSG00000207206	1571	803	657	847	857
ENSG00000192803	9	16	14	11	10
ENSG00000198435	2072	2140	1738	1749	2722
ENSG00000121173	293	158	272	238	393
ENSG00000144385	5	14	15	10	13
ENSG00000214127	137	148	147	94	230
ENSG00000212635	478	482	504	367	428
ENSG00000176967	1402	1357	1325	1776	1508
ENSG00000145667	1566	949	1110	1022	1026
ENSG00000102823	1608	1185	1997	1517	1186
ENSG00000148726	246	148	77	107	130
ENSG00000162424	599	894	761	536	467
ENSG00000207220	1	1	2	1	1
ENSG00000199632	1563	875	1000	830	1556
ENSG00000228367	182	162	205	105	207
ENSG00000107590	3280	4853	2446	3621	4059
ENSG00000123354	26	46	36	35	25
ENSG00000209307	52	48	48	30	89
ENSG00000162595	188	252	146	141	130
ENSG00000136942	940	1269	951	1003	628
ENSG00000235378	319	172	261	334	253
ENSG00000148021	875	1268	1559	942	1266
ENSG00000214515	173	139	145	243	144
ENSG00000165478	2115	1218	996	730	688
ENSG00000203391	31974	36472	47666	38820	57016
ENSG00000234132	860	1995	1348	1419	2055
ENSG00000131962	749	484	605	397	462
ENSG00000139342	12	4	8	5	11
ENSG00000206229	424	505	371	825	259
ENSG00000183688	897	1190	1059	752	1072
ENSG00000225027	96	110	99	102	90
ENSG00000132835	1411	1133	901	1074	1408
ENSG00000205007	2	1	2	0	5
ENSG00000186441	68	37	56	33	63
ENSG00000212553	21	22	26	7	21
ENSG00000172644	1296	361	593	826	484
ENSG00000194010	15	39	26	21	36
ENSG00000193761	17	13	3	20	16
ENSG00000239112	1266	3218	2327	2540	2352
ENSG00000184513	7	8	9	4	8
ENSG00000236097	501	272	432	336	292
ENSG00000152533	2424	1045	1264	1172	1619
ENSG00000132174	107	154	64	111	70
ENSG00000234921	25	29	13	7	18
ENSG00000164314	86	129	55	163	140
ENSG00000236287	82	47	67	27	59
ENSG00000149418	47	38	32	27	47
ENSG00000177358	179	201	126	120	223
ENSG00000245357	131	175	149	174	132
ENSG00000230043	84047	52626	54571	69263	46023
ENSG00000237730	2076	2403	2243	1114	1560
ENSG00000108856	358	189	141	179	280
ENSG00000242274	586	351	931	489	388
ENSG00000137178	3926	4485	4839	4903	2462
ENSG00000141117	1223	1428	1074	1949	1164
ENSG00000160820	206	115	129	173	143
ENSG00000211857	84	19	35	49	28
ENSG00000183390	2812	5937	4560	5969	2443
ENSG00000247956	213	183	173	180	136
ENSG00000211003	249	315	280	159	298
ENSG00000122857	2556	1996	3151	2335	2289
ENSG00000190904	321	170	183	383	146
ENSG00000135146	2611	1667	819	2040	1788
ENSG00000135588	45	104	78	74	41
ENSG00000201057	280	239	369	142	134
ENSG00000170418	84	98	147	148	85
ENSG00000178902	9576	7644	10937	7254	5424
ENSG00000144071	2	5	3	9	14
ENSG00000134789	124	91	129	92	112
ENSG00000249153	37	39	19	24	31
ENSG00000180415	24	28	31	32	40
ENSG00000195093	15	5	11	17	7
ENSG00000233435	38	26	24	26	21
ENSG00000225155	1104	1718	1849	1762	1970
ENSG00000219503	4408	2897	3580	2565	2372
ENSG00000152388	23	45	48	34	35
ENSG00000133939	8	11	20	9	5
ENSG00000116872	79	33	44	71	42
ENSG00000200567	4610	3781	3527	2857	2438
ENSG00000201743	56	109	249	112	187
ENSG00000117111	4	1	4	3	1
ENSG00000126847	639	1448	547	710	1069
ENSG00000122564	93	86	99	104	129
ENSG00000125016	371	562	374	495	312
ENSG00000239224	291	271	460	343	321
ENSG00000101019	9	8	13	4	8
ENSG00000162898	911	371	1391	1027	1126
ENSG00000205522	600	440	689	526	425
ENSG00000162808	17	34	32	33	38
ENSG00000107534	1	2	1	2	2
ENSG00000225062	17	8	7	12	7
ENSG00000224349	8	10	9	10	19
ENSG00000114947	1493	552	539	614	557
ENSG00000166477	44	56	16	36	48
ENSG00000138164	97	74	65	89	40
ENSG00000132809	306	95	147	134	169
ENSG00000143649	41	60	76	28	45
ENSG00000198636	262	360	276	206	454
ENSG00000225524	308	184	255	142	321
ENSG00000133744	976	1603	970	1033	1356
ENSG00000126169	23	5	6	16	9
ENSG00000217461	478	308	249	267	323
ENSG00000164743	80	43	92	68	90
ENSG00000109192	5964	5758	7416	7609	7411
ENSG00000230952	3332	2481	2397	3016	2013
ENSG00000153720	103	68	86	68	51
ENSG00000124708	1145	1117	646	1516	332
ENSG00000106750	4	4	7	4	4
ENSG00000134868	18	29	18	13	10
ENSG00000207092	85	65	71	76	97
ENSG00000191848	328	217	276	158	195
ENSG00000207422	20	19	20	15	19
ENSG00000146930	164	127	114	89	96
ENSG00000207400	2487	887	1102	1671	1018
ENSG00000178688	5	6	6	5	11
ENSG00000180948	10	3	14	10	12
ENSG00000208422	4	2	2	4	0
ENSG00000205852	1742	809	723	924	1236
ENSG00000196286	15	12	14	16	15
ENSG00000246176	58	77	44	80	94
ENSG00000175539	33	23	20	14	24
ENSG00000128661	82	104	114	145	116
ENSG00000214714	33	52	55	84	46
ENSG00000189311	156	247	235	188	152
ENSG00000147272	217	140	111	189	225
ENSG00000146686	4731	4101	4880	1912	3032
ENSG00000152377	52	30	25	18	39
ENSG00000150984	169	408	295	144	228
ENSG00000232477	225	56	118	57	101
ENSG00000218591	13	21	20	23	29
ENSG00000239115	586	708	319	1107	751
ENSG00000125435	11797	9801	7268	6957	6520
ENSG00000240043	11	15	23	12	8
ENSG00000231882	17474	15957	12912	20074	14259
ENSG00000142942	47	173	77	92	83
ENSG00000188382	68	129	151	89	121
ENSG00000106583	0	0	0	2	0
ENSG00000108894	225	136	129	92	144
ENSG00000124129	177	75	136	80	55
ENSG00000153400	40	87	42	81	53
ENSG00000215655	549	254	522	402	385
ENSG00000191449	181	119	71	77	77
ENSG00000109783	485	246	320	312	209
ENSG00000175847	19	34	42	35	32
ENSG00000163909	6	10	13	6	11
ENSG00000123355	135	122	180	257	95
ENSG00000202634	381	259	528	587	427
ENSG00000165596	558	390	565	951	646
ENSG00000114086	202	145	218	232	196
ENSG00000135470	16	32	18	17	23
ENSG00000195197	120	147	100	129	78
ENSG00000102771	100	73	63	61	103
ENSG00000231498	6	15	16	15	18
ENSG00000202703	308	170	260	290	315
ENSG00000128540	71	108	127	131	68
ENSG00000172373	10	7	8	11	17
ENSG00000196768	67	58	50	90	98
ENSG00000179785	434	376	376	257	594
ENSG00000164153	3534	1753	3731	2107	3184
ENSG00000193696	4	0	0	0	2
ENSG00000126451	72	97	50	66	52
ENSG00000198217	311	276	248	436	583
ENSG00000111636	919	1191	1092	978	1921
ENSG00000100343	285	369	442	323	196
ENSG00000170250	26	17	15	25	23
ENSG00000162865	61	57	44	76	28
ENSG00000202263	318	115	153	98	142
ENSG00000233190	24	32	46	26	28
ENSG00000249865	19	18	16	21	15
ENSG00000228894	14	9	6	15	10
ENSG00000240187	19197	10459	17129	27817	22269
ENSG00000174963	116	170	143	164	106
ENSG00000210302	42	43	102	113	111
ENSG00000179662	356	673	840	137	364
ENSG00000110647	165	169	56	208	91
ENSG00000105777	92	152	64	75	89
ENSG00000127828	311	202	276	296	195
ENSG00000208114	26	47	50	33	30
ENSG00000164935	82	40	53	74	47
ENSG00000209936	1243	1401	781	691	1204
ENSG00000214955	678	647	413	263	358
ENSG00000155473	9	22	13	24	12
ENSG00000171208	3747	3489	2971	1577	3637
ENSG00000173948	67	60	72	40	32
ENSG00000182698	7	10	12	4	7
ENSG00000121207	411	477	373	583	600
ENSG00000184106	683	416	295	436	774
ENSG00000153094	139	198	256	281	460
ENSG00000117502	18	22	23	30	15
ENSG00000231367	1037	2691	1975	1989	2099
ENSG00000104837	284	670	225	556	398
ENSG00000185274	227	305	573	300	318
ENSG00000163291	199	201	231	194	166
ENSG00000244319	320	441	378	296	350
ENSG00000148398	7634	9816	12857	11470	13787
ENSG00000150134	80	51	42	58	21
ENSG00000133973	225	117	266	144	283
ENSG00000242792	1503	2241	1584	1511	823
ENSG00000138099	1218	931	1124	740	497
ENSG00000193305	36	25	26	30	25
ENSG00000133622	170	134	99	73	166
ENSG00000171738	66	86	73	62	40
ENSG00000235274	9	6	4	12	14
ENSG00000194513	99	124	115	97	70
ENSG00000215301	858	1315	623	1188	971
ENSG00000216726	193	208	287	157	293
ENSG00000146236	1035	2149	1880	1594	855
ENSG00000136648	461	298	272	205	295
ENSG00000138476	35	46	49	31	28
ENSG00000146720	457	385	350	377	248
ENSG00000185039	10	1	4	7	5
ENSG00000162714	1881	1728	1375	1193	1230
ENSG00000135438	43	77	96	83	44
ENSG00000115867	3773	4104	3862	3690	3822
ENSG00000245339	5	13	6	9	4
ENSG00000186109	33	42	24	27	22
ENSG00000236123	67	56	47	30	88
ENSG00000181726	174	63	125	56	87
ENSG00000134324	8	2	6	5	6
ENSG00000226624	12	7	11	10	3
ENSG00000119081	330	477	358	216	306
ENSG00000124484	22	23	40	38	37
ENSG00000143572	546	1012	743	509	783
ENSG00000144679	3959	3658	2512	3964	3095
ENSG00000165517	6	7	13	2	8
ENSG00000142200	82	75	96	53	59
ENSG00000228967	2852	6771	6210	7094	6279
ENSG00000116987	910	1781	871	1166	1478
ENSG00000222815	8	10	4	18	9
ENSG00000238798	523	185	258	295	275
ENSG00000113791	5115	4673	4354	3761	3752
ENSG00000202371	8	1	3	3	2
ENSG00000180815	215	203	227	377	364
ENSG00000197857	1707	1071	715	751	950
ENSG00000202147	49	60	18	52	62
ENSG00000164222	20	67	30	65	24
ENSG00000173578	280	624	966	785	495
ENSG00000131956	10	4	5	1	12
ENSG00000236715	392	706	305	465	648
ENSG00000160966	2274	1283	3582	1115	2707
ENSG00000147343	213	58	256	316	149
ENSG00000231306	8	1	10	4	1
ENSG00000116742	5825	3758	5350	2730	1946
ENSG00000132988	163	179	129	156	143
ENSG00000238324	1029	325	297	537	561
ENSG00000164788	28	21	14	8	10
ENSG00000230532	146	172	141	112	204
ENSG00000133314	2655	956	608	2198	1098
ENSG00000130709	10	5	3	2	6
ENSG00000161269	8	12	3	11	13
ENSG00000228521	1	2	1	0	4
ENSG00000199386	224	356	474	254	299
ENSG00000183106	319	407	517	321	281
ENSG00000239778	37	35	41	16	17
ENSG00000130008	283	355	118	314	322
ENSG00000244591	213	104	174	108	211
ENSG00000241541	9115	5266	8599	7620	5512
ENSG00000149297	6	6	24	30	19
ENSG00000214665	170	327	250	153	190
ENSG00000194594	74	70	52	67	56
ENSG00000217542	9096	4832	6402	5259	8013
ENSG00000200370	207	356	127	319	288
ENSG00000236293	18	11	12	13	9
ENSG00000113722	245	193	383	220	328
ENSG00000130289	253	111	90	102	117
ENSG00000150298	16	4	20	19	16
ENSG00000162594	181	221	305	374	424
ENSG00000147109	570	232	279	207	202
ENSG00000221764	17	7	24	15	18
ENSG00000160635	43	71	72	94	55
ENSG00000184908	1269	872	1105	1364	1711
ENSG00000132350	711	1484	1063	979	1402
ENSG00000115564	67	147	145	79	60
ENSG00000172432	99	78	40	90	68
ENSG00000101098	356	184	202	280	199
ENSG00000103818	120	109	155	90	151
ENSG00000187536	12	22	9	8	15
ENSG00000125677	660	653	296	444	417
ENSG00000228892	48	19	32	17	23
ENSG00000205824	691	3153	2425	3898	1219
ENSG00000174982	598	365	459	629	634
ENSG00000145430	765	449	344	716	666
ENSG00000220322	85	73	37	73	61
ENSG00000120547	112	201	216	175	208
ENSG00000102335	67	58	50	53	62
ENSG00000238942	36	58	106	48	125
ENSG00000212356	18	12	9	21	31
ENSG00000247854	1903	2166	1899	2324	1432
ENSG00000120510	24	16	7	17	17
ENSG00000109697	5676	4048	2387	5516	3933
ENSG00000133852	787	625	525	455	807
ENSG00000173016	25	16	12	18	30
ENSG00000241328	1658	1496	3212	1590	4116
ENSG00000130269	309	163	420	353	217
ENSG00000134929	24	36	20	27	9
ENSG00000170724	317	348	315	266	318
ENSG00000189698	36	71	68	51	47
ENSG00000173825	36	29	50	17	48
ENSG00000179925	171	89	135	145	134
ENSG00000108084	228	213	279	249	208
ENSG00000161607	61	46	57	128	78
ENSG00000103529	168	131	132	123	145
ENSG00000171557	346	417	893	613	839
ENSG00000115160	103	54	55	101	68
ENSG00000235825	119	69	77	93	79
ENSG00000114533	13	11	7	10	8
ENSG00000192852	77	58	95	138	100
ENSG00000211490	51	44	37	68	57
ENSG00000155332	85	132	83	105	101
ENSG00000210734	525	902	1416	372	793
ENSG00000180535	1158	891	806	705	1018
ENSG00000140919	85	117	192	134	140
ENSG00000234609	43	50	60	60	80
ENSG00000154654	117	118	171	170	174
ENSG00000132723	291	180	87	124	235
ENSG00000247257	398	138	235	230	140
ENSG00000149086	14	13	18	1	3
ENSG00000236542	405	183	369	357	290
ENSG00000209251	28	15	25	24	17
ENSG00000228513	232	448	293	328	101
ENSG00000236824	344	223	440	361	347
ENSG00000115509	189	187	228	191	282
ENSG00000109779	2046	2121	1159	2682	861
ENSG00000141400	105	117	169	150	193
ENSG00000130148	289	113	141	266	344
ENSG00000140509	9	7	25	25	29
ENSG00000111530	105	46	91	100	135
ENSG00000208460	80	33	111	116	129
ENSG00000236833	132	168	121	116	136
ENSG00000169628	48	118	119	64	88
ENSG00000218297	1	0	1	5	1
ENSG00000156959	396	1090	793	537	739
ENSG00000146564	1003	468	593	684	1123
ENSG00000115735	0	1	2	1	4
ENSG00000205109	262	263	324	266	245
ENSG00000155341	997	1282	530	1096	919
ENSG00000138144	469	496	610	735	530
ENSG00000217638	1270	320	369	494	488
ENSG00000168584	420	127	97	158	108
ENSG00000211459	54	55	43	63	49
ENSG00000100460	5071	6542	7255	9118	5168
ENSG00000136114	238	361	411	365	367
ENSG00000150932	5408	7401	3260	7119	3958
ENSG00000187914	177	183	100	152	94
ENSG00000234691	1597	730	610	1572	1020
ENSG00000109315	725	815	570	672	891
ENSG00000166127	440	510	620	851	849
ENSG00000117913	10	17	4	18	14
ENSG00000104826	20804	15775	18434	18245	18055
ENSG00000169044	336	485	260	254	320
ENSG00000214007	111	78	69	84	93
ENSG00000224753	273	229	243	385	184
ENSG00000101793	2	4	2	3	6
ENSG00000206192	2393	2317	3009	3392	3228
ENSG00000139824	108	89	113	87	29
ENSG00000223641	356	219	271	436	203
ENSG00000152371	123	123	173	233	195
ENSG00000116426	9	5	4	0	4
ENSG00000225080	51	48	75	72	112
ENSG00000129932	1513	2754	2340	2051	2745
ENSG00000181492	15	34	34	32	37
ENSG00000240045	174	267	309	322	152
ENSG00000136581	930	1861	1893	1111	1059
ENSG00000126976	12049	4336	2524	5430	1805
ENSG00000116307	29	45	23	23	36
ENSG00000130856	1037	1576	1146	1399	1471
ENSG00000187702	598	714	367	377	850
ENSG00000225410	363	364	511	555	432
ENSG00000109215	583	1067	1100	1044	1068
ENSG00000198612	901	452	539	853	636
ENSG00000189021	14	42	14	18	27
ENSG00000105160	277	365	380	313	372
ENSG00000139694	29	65	71	62	80
ENSG00000118174	218	375	282	523	560
ENSG00000109020	76	41	106	106	84
ENSG00000120931	2414	4325	4514	2144	2271
ENSG00000216899	2453	868	939	1237	1582
ENSG00000210622	646	373	380	524	425
ENSG00000217412	33	46	79	70	43
ENSG00000133674	539	651	574	473	525
ENSG00000246231	16	29	15	7	26
ENSG00000240429	23	23	24	47	31
ENSG00000172326	5	14	3	7	3
ENSG00000224983	764	1499	1474	1143	1752
ENSG00000217110	34	30	54	97	40
ENSG00000101736	1365	1007	1864	757	1124
ENSG00000232193	1735	2991	1362	1112	1840
ENSG00000210492	951	2633	1742	1031	853
ENSG00000222871	74	75	51	102	90
ENSG00000218586	1360	1375	4145	4137	3192
ENSG00000174157	1597	1803	2045	2293	1072
ENSG00000132889	3	18	19	5	26
ENSG00000100886	504	213	424	361	461
ENSG00000163930	33	29	28	48	25
ENSG00000124658	144	68	137	120	170
ENSG00000213598	1630	2361	1903	2299	2437
ENSG00000146417	301	232	262	195	487
ENSG00000140850	4130	3508	5330	3632	4229
ENSG00000118318	460	844	669	274	700
ENSG00000246014	826	411	1156	483	868
ENSG00000200826	7501	2660	3747	3252	3024
ENSG00000200756	2004	3632	2036	1534	2728
ENSG00000128039	1790	842	452	1133	830
ENSG00000149906	3360	3863	2175	2984	2111
ENSG00000230183	1360	1405	2116	2099	1235
ENSG00000126128	7	8	6	12	6
ENSG00000131047	21	14	17	21	19
ENSG00000246850	306	171	256	228	187
ENSG00000201691	2373	1465	2119	1114	1900
ENSG00000215922	61	54	53	41	52
ENSG00000111546	10	9	7	13	7
ENSG00000127085	178	167	171	172	176
ENSG00000157628	38	66	31	44	46
ENSG00000198955	4223	2138	2472	3844	2195
ENSG00000198414	3	1	1	3	2
