gene_id	N61311_untreated	N61311_dex	N052611_dex	N080611_dex	N61311R_dex
ENSG00000199583	1	0	1	1	2
ENSG00000164889	10610	6893	5571	9018	10789
ENSG00000114009	6	13	6	9	18
ENSG00000155237	4045	5285	3205	2711	3873
ENSG00000164540	3160	1642	3643	3049	2615
ENSG00000103722	280	175	214	276	235
ENSG00000167591	34	61	38	41	22
ENSG00000244002	111	161	281	184	140
ENSG00000194368	15	7	14	6	13
ENSG00000238172	278	309	214	513	222
ENSG00000177737	130	141	150	160	189
ENSG00000198802	664	600	382	359	598
ENSG00000184399	776	617	1106	518	569
ENSG00000237638	2935	4090	4419	4746	4964
ENSG00000224150	41	66	50	25	77
ENSG00000236970	1378	951	2076	1189	1021
ENSG00000154187	33	42	21	29	33
ENSG00000206352	18	19	22	35	13
ENSG00000164759	14	47	53	42	34
ENSG00000108458	23	36	11	31	7
ENSG00000224978	864	1354	1531	1109	1104
ENSG00000245364	794	494	655	973	798
ENSG00000159518	1100	872	5461	1075	2421
ENSG00000206154	144	86	178	114	251
ENSG00000194756	335	216	511	331	174
ENSG00000222403	30	36	55	51	42
ENSG00000171091	24	15	18	5	16
ENSG00000166597	484	355	505	293	239
ENSG00000199449	243	219	177	234	151
ENSG00000214316	14	13	16	19	10
ENSG00000159376	1132	380	400	506	561
ENSG00000204566	4	2	2	2	7
ENSG00000175934	135	118	72	77	83
ENSG00000134932	44	62	25	25	25
ENSG00000177951	40	52	29	92	50
ENSG00000248529	40	21	22	19	19
ENSG00000138883	1269	1107	878	1453	1046
ENSG00000244188	774	607	346	277	414
ENSG00000120306	1802	1464	2082	1638	1740
ENSG00000143746	123	255	114	142	160
ENSG00000231143	16	19	10	14	4
ENSG00000206011	55	40	69	42	56
ENSG00000226969	11	18	9	23	10
ENSG00000174829	389	393	425	442	339
ENSG00000112850	1046	1130	1327	642	1974
ENSG00000154591	637	322	132	78	405
ENSG00000181051	76	22	40	39	30
ENSG00000184825	46	93	37	65	85
ENSG00000153067	249	334	253	233	157
ENSG00000181687	6	5	10	8	14
ENSG00000191004	313	181	117	297	114
ENSG00000231731	156	186	249	232	253
ENSG00000248579	50	25	56	36	45
ENSG00000108429	51	52	27	44	42
ENSG00000236466	268	217	179	169	239
ENSG00000103379	15	9	20	36	24
ENSG00000175414	24	30	36	36	59
ENSG00000175065	1032	765	607	503	506
ENSG00000168138	334	170	142	153	188
ENSG00000120008	4233	3200	3947	1847	5656
ENSG00000128152	30	21	20	20	25
ENSG00000175690	4	1	10	3	3
ENSG00000189462	1573	671	582	622	1017
ENSG00000188781	834	844	695	832	766
ENSG00000201962	24	47	10	36	12
ENSG00000109609	5	7	3	5	7
ENSG00000128453	129	111	88	100	102
ENSG00000156956	1	0	2	4	0
ENSG00000218584	114	107	116	96	64
ENSG00000101003	1	2	3	2	0
ENSG00000183845	89	48	90	124	77
ENSG00000102268	2	2	1	3	3
ENSG00000204444	59	64	115	61	80
ENSG00000143937	2794	3301	1890	3398	3952
ENSG00000191698	129	115	137	76	41
ENSG00000146404	791	415	564	816	932
ENSG00000235668	13	46	33	43	36
ENSG00000210726	25	15	15	27	27
ENSG00000182944	4	7	9	5	10
ENSG00000214293	982	1043	972	1144	876
ENSG00000224452	95	149	97	144	101
ENSG00000152788	4560	2784	2534	4871	2455
ENSG00000207793	8	17	22	19	15
ENSG00000103373	107	76	50	99	113
ENSG00000206204	123	211	160	135	69
ENSG00000131584	1651	1440	2762	2190	2130
ENSG00000157764	3208	6438	4678	4562	5117
ENSG00000229725	39	48	26	41	49
ENSG00000106864	19	9	10	23	12
ENSG00000189093	6	5	8	3	2
ENSG00000117496	3071	1191	1747	1287	2297
ENSG00000148474	88	138	78	56	76
ENSG00000235925	28	41	49	30	20
ENSG00000183531	176	89	134	55	125
ENSG00000128585	2	0	3	0	0
ENSG00000135561	4	6	3	4	3
ENSG00000187014	569	1135	985	558	722
ENSG00000118227	431	259	268	385	444
ENSG00000157847	181	244	201	140	185
ENSG00000116904	9	20	14	8	18
ENSG00000197035	319	404	309	219	394
ENSG00000107210	6068	5481	5511	4275	4128
ENSG00000239030	13	13	5	10	17
ENSG00000206333	186	113	66	214	139
ENSG00000172102	72	37	41	56	66
ENSG00000191904	152	125	139	402	358
ENSG00000135209	121	93	132	92	157
ENSG00000115793	144	76	87	54	92
ENSG00000214954	9	11	21	18	29
ENSG00000117017	83	101	175	116	183
ENSG00000231201	39	42	28	48	60
ENSG00000154377	123	89	61	146	62
ENSG00000190911	136	60	89	93	81
ENSG00000224720	284	445	449	224	401
ENSG00000162451	31	38	43	22	35
ENSG00000136888	65	71	79	66	65
ENSG00000137064	996	565	1499	1017	1185
ENSG00000129109	84	101	94	97	92
ENSG00000225034	73	117	115	94	32
ENSG00000169616	1739	691	1475	794	826
ENSG00000147679	161	306	267	385	156
ENSG00000140935	112	191	117	185	109
ENSG00000248891	282	170	286	143	230
ENSG00000109712	7	3	13	8	5
ENSG00000100535	277	520	264	501	344
ENSG00000247441	2816	1261	2346	2223	2655
ENSG00000191474	942	561	519	420	416
ENSG00000166973	4	11	6	12	5
ENSG00000121316	245	115	128	140	170
ENSG00000172980	23	32	22	15	24
ENSG00000134982	82	60	88	54	100
ENSG00000151832	135	93	136	155	253
ENSG00000143370	13	22	11	16	7
ENSG00000225320	1896	1596	2513	1742	1963
ENSG00000236891	76	93	86	75	48
ENSG00000112466	476	648	677	857	648
ENSG00000144137	358	380	609	333	393
ENSG00000154491	1610	1567	1972	1753	3367
ENSG00000196771	794	1107	687	1080	1212
ENSG00000112350	7	8	13	7	7
ENSG00000212150	95	91	216	151	124
ENSG00000209155	1	3	3	3	4
ENSG00000143455	37	59	34	22	54
ENSG00000242626	415	724	755	503	386
ENSG00000171200	975	844	1250	1664	416
ENSG00000215880	2526	1476	1350	1740	1943
ENSG00000134465	88	65	47	85	55
ENSG00000238194	371	323	296	149	243
ENSG00000177177	281	221	108	116	184
ENSG00000136673	1626	1377	2462	1565	1276
ENSG00000117457	2138	2898	2246	2344	2446
ENSG00000128246	61	55	52	64	49
ENSG00000207601	66059	29949	48625	50391	52574
ENSG00000115348	129	98	161	117	112
ENSG00000206727	114	31	95	104	51
ENSG00000146366	254	424	454	349	354
ENSG00000154652	646	475	646	421	808
ENSG00000120642	535	303	252	355	654
ENSG00000174017	30	20	54	58	41
ENSG00000191052	3462	2060	1941	2725	1448
ENSG00000206284	135	184	164	56	103
ENSG00000184295	3313	2788	2217	1866	2606
ENSG00000163529	1883	2591	1722	2140	2445
ENSG00000139209	6	13	10	15	11
ENSG00000210522	29	31	35	26	36
ENSG00000230623	25	7	40	13	20
ENSG00000244823	307	325	208	292	206
ENSG00000159402	124	107	164	102	166
ENSG00000220709	291	195	218	303	241
ENSG00000141356	20	33	26	22	25
ENSG00000180911	384	350	201	283	282
ENSG00000199796	1911	2670	3601	2276	2025
ENSG00000206289	10	7	17	13	7
ENSG00000153087	164	193	68	112	111
ENSG00000188211	182	232	111	240	335
ENSG00000119033	116	111	111	71	82
ENSG00000206208	152	95	105	71	84
ENSG00000158247	4251	5461	3287	5818	5137
ENSG00000224300	1186	1596	2376	1398	2297
ENSG00000220355	496	1185	919	981	446
ENSG00000167865	17	40	38	33	38
ENSG00000207196	7537	18210	13044	5903	14218
ENSG00000198834	310	333	429	324	505
ENSG00000180677	46	30	44	80	67
ENSG00000140920	150	95	71	91	79
ENSG00000186747	60	47	31	54	89
ENSG00000185754	11882	8960	9505	7747	8951
ENSG00000171082	175	162	195	226	191
ENSG00000172207	116	162	188	60	161
ENSG00000118181	2	3	2	2	2
ENSG00000155795	766	262	974	212	535
ENSG00000156140	14	17	14	18	14
ENSG00000109023	2	13	2	12	16
ENSG00000140424	293	373	454	396	383
ENSG00000178612	27	31	25	35	12
ENSG00000137583	1073	921	719	745	392
ENSG00000161642	1205	1365	1091	1302	1146
ENSG00000167842	6	1	5	8	2
ENSG00000133370	88	164	161	147	120
ENSG00000140437	4	12	10	4	11
ENSG00000116394	154	83	131	123	164
ENSG00000210541	2225	999	1388	794	1620
ENSG00000163482	7	14	10	2	5
ENSG00000179524	5672	2567	6970	5962	4701
ENSG00000135539	33	72	63	91	88
ENSG00000217114	19	8	9	15	10
ENSG00000163493	84	131	95	141	97
ENSG00000118290	918	882	693	633	569
ENSG00000161841	6	9	5	9	7
ENSG00000149010	173	109	99	70	196
ENSG00000162350	6	9	9	12	10
ENSG00000114979	895	1023	1089	581	700
ENSG00000200515	267	95	240	262	177
ENSG00000219101	41	107	63	32	43
ENSG00000150090	996	1053	906	1161	1288
ENSG00000161794	7	10	7	8	12
ENSG00000137325	54	65	63	64	58
ENSG00000194106	2926	3093	6334	8928	6510
ENSG00000103355	95	154	95	209	143
ENSG00000226699	3318	1633	1623	2566	1377
ENSG00000193137	198	188	226	221	280
ENSG00000173761	30	34	33	43	31
ENSG00000129504	115	109	49	242	63
ENSG00000102121	161	99	118	155	148
ENSG00000212456	110	73	68	77	71
ENSG00000225937	34	23	14	31	24
ENSG00000116944	42	16	19	38	16
ENSG00000221633	7	8	4	3	5
ENSG00000130790	162	166	204	163	157
ENSG00000142744	456	295	276	398	323
ENSG00000148927	794	857	470	604	460
ENSG00000245857	5	3	2	4	2
ENSG00000230426	495	837	655	682	973
ENSG00000177294	200	149	129	121	65
ENSG00000218908	2	3	5	12	12
ENSG00000136851	137	302	237	226	149
ENSG00000226489	538	615	914	629	802
ENSG00000192773	493	628	439	711	713
ENSG00000214413	231	406	445	721	356
ENSG00000149240	1522	937	1201	1815	879
ENSG00000113314	724	1041	920	749	579
ENSG00000134565	205	115	92	183	130
ENSG00000212570	2	0	0	3	1
ENSG00000248179	36	13	33	24	20
ENSG00000213907	1048	339	291	408	404
ENSG00000124801	71	57	30	77	70
ENSG00000190981	582	888	1041	365	544
ENSG00000187010	820	622	279	430	629
ENSG00000249430	46	109	86	139	123
ENSG00000245466	7611	8838	8743	3995	6923
ENSG00000166050	23	23	34	22	8
ENSG00000203335	1094	1187	957	1011	907
ENSG00000106614	82	43	53	35	44
ENSG00000175040	36	16	22	60	8
ENSG00000212075	262	515	325	669	241
ENSG00000132787	40	27	30	43	47
ENSG00000179292	1130	710	608	711	752
ENSG00000144176	15	14	12	12	12
ENSG00000163893	122	125	111	183	160
ENSG00000106579	31	34	38	21	38
ENSG00000239359	58	143	62	78	114
ENSG00000244394	48	59	53	98	36
ENSG00000181284	12	31	8	11	23
ENSG00000136856	527	815	304	389	692
ENSG00000183461	15	25	25	4	11
ENSG00000176210	18	12	12	24	10
ENSG00000143836	816	557	963	821	862
ENSG00000201509	1472	704	771	685	995
ENSG00000238290	632	776	597	531	541
ENSG00000231039	212	340	298	302	262
ENSG00000206457	11154	11867	14897	17133	5809
ENSG00000124919	9	9	7	8	7
ENSG00000168497	45	22	23	11	36
ENSG00000174896	40	18	17	17	21
ENSG00000111057	508	793	584	968	971
ENSG00000161190	250	200	300	206	263
ENSG00000226375	1868	669	1759	1354	1259
ENSG00000141034	863	1109	1076	804	1598
ENSG00000175224	72	96	89	80	48
ENSG00000134359	22	26	32	19	29
ENSG00000144633	7	33	18	24	31
ENSG00000197345	13054	20043	11807	11050	14529
ENSG00000174958	1394	1385	1315	772	1084
ENSG00000129067	695	218	472	539	532
ENSG00000138888	59	56	67	70	118
ENSG00000112948	61	110	51	76	89
ENSG00000243728	196	58	155	63	48
ENSG00000182922	91	60	53	106	128
ENSG00000219771	1	1	0	0	1
ENSG00000204648	143	126	152	100	95
ENSG00000116784	69	58	63	61	57
ENSG00000148812	154	344	252	464	173
ENSG00000175650	315	220	187	406	150
ENSG00000192803	817	933	1383	770	517
ENSG00000214843	172	86	155	208	91
ENSG00000166639	1445	812	553	816	422
ENSG00000223809	0	1	2	2	1
ENSG00000210830	14	24	20	12	12
ENSG00000217152	2681	7252	2702	5258	3406
ENSG00000150987	8	14	12	13	28
ENSG00000152756	120	56	100	40	55
ENSG00000187331	508	739	736	420	585
ENSG00000115538	21	15	27	14	10
ENSG00000162857	456	688	461	741	570
ENSG00000156304	3	7	4	7	8
ENSG00000178134	1	8	2	1	3
ENSG00000111719	12	11	9	4	13
ENSG00000173536	3	5	6	6	8
ENSG00000181621	119	150	124	187	109
ENSG00000238107	73	83	54	63	125
ENSG00000204875	268	220	321	248	163
ENSG00000179507	16	25	15	15	24
ENSG00000233437	19234	37779	40121	12647	31900
ENSG00000171331	147	109	81	130	100
ENSG00000245919	177	189	175	136	47
ENSG00000214590	384	534	384	403	190
ENSG00000168054	68	68	69	83	59
ENSG00000103963	29	30	34	41	41
ENSG00000243516	182	112	179	156	153
ENSG00000133080	1166	1008	965	1133	814
ENSG00000190323	771	376	618	625	619
ENSG00000231169	706	929	1336	535	1595
ENSG00000199468	36	54	48	55	32
ENSG00000159675	24	18	28	41	36
ENSG00000123016	4366	8082	11000	5105	8087
ENSG00000166660	134	65	149	90	56
ENSG00000191841	432	351	386	529	277
ENSG00000225027	512	683	490	531	560
ENSG00000159854	3415	1714	2916	3388	2379
ENSG00000221770	12	12	8	10	4
ENSG00000162501	45	67	33	88	57
ENSG00000133569	29	87	72	36	103
ENSG00000130292	89	35	54	158	33
ENSG00000228991	2	0	1	2	1
ENSG00000179219	164	223	100	106	80
ENSG00000239112	0	1	1	1	3
ENSG00000129649	297	221	364	262	243
ENSG00000125703	602	291	577	543	334
ENSG00000236097	338	284	423	558	391
ENSG00000152533	12	14	1	13	9
ENSG00000169701	958	1632	974	770	1042
ENSG00000241870	28	21	20	18	24
ENSG00000218243	24	15	14	13	7
ENSG00000117065	30	27	20	21	20
ENSG00000107620	18	22	38	21	35
ENSG00000224369	153	184	221	196	132
ENSG00000159803	723	604	767	1132	1051
ENSG00000209311	0	1	2	3	1
ENSG00000120298	44	61	39	30	66
ENSG00000110643	565	882	947	1278	700
ENSG00000209613	385	131	121	181	197
ENSG00000152909	277	354	430	336	481
ENSG00000183916	16	12	6	11	7
ENSG00000198875	578	1323	1783	781	724
ENSG00000123234	6	6	0	10	5
ENSG00000197304	155	160	219	215	176
ENSG00000241987	1937	2181	2518	2463	1559
ENSG00000113367	5571	3534	6207	3885	4772
ENSG00000188519	262	301	469	512	557
ENSG00000244639	472	1379	638	1651	999
ENSG00000132598	61	48	45	53	56
ENSG00000188062	93	25	76	59	57
ENSG00000206329	1774	1430	1398	1119	1601
ENSG00000150463	111	187	141	127	117
ENSG00000117415	126	150	99	145	64
ENSG00000127203	7	6	7	13	8
ENSG00000178902	221	366	200	128	282
ENSG00000107041	567	414	574	431	306
ENSG00000176172	41	37	33	27	40
ENSG00000239031	74	23	75	62	33
ENSG00000173972	2166	5165	1844	2154	2711
ENSG00000153911	193	171	187	204	139
ENSG00000186499	47	78	87	109	112
ENSG00000149381	8	9	22	12	8
ENSG00000233435	27	61	28	38	24
ENSG00000237363	65	79	74	43	69
ENSG00000153675	2724	1452	2205	1676	2560
ENSG00000134808	92	42	59	31	54
ENSG00000174966	7733	5445	3842	5558	9233
ENSG00000122564	19	15	15	13	26
ENSG00000241833	80	48	60	65	67
ENSG00000215429	1115	783	593	726	1093
ENSG00000232112	130	86	88	97	94
ENSG00000235460	27	16	36	19	21
ENSG00000197766	82	57	84	80	51
ENSG00000212370	355	385	365	243	286
ENSG00000242450	1	3	7	3	3
ENSG00000210730	69	74	50	110	82
ENSG00000243966	76	99	91	100	144
ENSG00000104785	57	92	45	73	70
ENSG00000106633	641	380	612	671	847
ENSG00000169691	35	37	39	55	65
ENSG00000122171	142	53	87	78	86
ENSG00000112361	130	169	72	129	134
ENSG00000165913	470	490	849	647	252
ENSG00000178500	92	53	88	125	84
ENSG00000106318	2252	3514	1457	2494	3827
ENSG00000225012	43	65	26	12	22
ENSG00000213880	1514	1112	2742	1153	2261
ENSG00000138666	29	30	20	25	21
ENSG00000114170	65	107	90	181	104
ENSG00000178526	238	292	261	106	290
ENSG00000160265	8352	5540	7630	7958	6972
ENSG00000121655	652	787	981	843	1182
ENSG00000148143	40	73	58	88	89
ENSG00000240973	913	1790	2798	2173	2605
ENSG00000187170	81	87	102	81	89
ENSG00000146608	22	36	11	61	18
ENSG00000211696	894	174	473	238	253
ENSG00000230742	242	114	163	167	232
ENSG00000112088	1058	1845	325	1959	1346
ENSG00000161277	58	46	45	31	50
ENSG00000134294	213	342	223	326	284
ENSG00000200574	709	442	748	464	910
ENSG00000246145	212	392	260	293	225
ENSG00000243861	82	154	154	111	112
ENSG00000233910	39	41	63	30	37
ENSG00000244986	895	529	534	852	539
ENSG00000174752	195	103	141	173	292
ENSG00000119833	195	459	185	297	270
ENSG00000146930	60	77	60	31	83
ENSG00000150879	224	111	154	312	132
ENSG00000236397	12	19	30	15	21
ENSG00000149158	143	147	229	141	140
ENSG00000168586	343	772	683	831	703
ENSG00000160082	197	198	107	196	180
ENSG00000124317	632	414	532	963	932
ENSG00000117907	564	259	146	191	249
ENSG00000171398	1410	2549	2175	2019	2506
ENSG00000214214	110	93	100	127	146
ENSG00000213187	11	10	9	0	7
ENSG00000154667	459	229	690	252	407
ENSG00000201582	56	74	107	80	94
ENSG00000196286	20	15	24	24	20
ENSG00000238315	566	621	539	492	562
ENSG00000152941	217	155	381	240	227
ENSG00000175539	572	116	418	247	252
ENSG00000192099	64	33	84	151	54
ENSG00000219553	215	237	142	169	161
ENSG00000172867	252	206	255	313	274
ENSG00000145812	2650	8758	5742	5194	6161
ENSG00000152377	20	32	18	23	78
ENSG00000132684	128	137	192	186	107
ENSG00000150487	282	236	532	104	406
ENSG00000176017	5	6	5	1	2
ENSG00000212670	7	10	6	5	7
ENSG00000106022	11737	13682	9615	14092	6658
ENSG00000233016	3	1	9	3	2
ENSG00000210935	174	380	528	330	334
ENSG00000117456	37	16	23	28	25
ENSG00000234552	39	29	26	42	27
ENSG00000105740	4	3	4	2	1
ENSG00000226454	13	13	34	21	19
ENSG00000134719	636	527	823	1140	621
ENSG00000217473	15	7	9	17	6
ENSG00000166112	327	431	619	674	384
ENSG00000146962	166	222	443	433	380
ENSG00000115218	5796	5048	9537	7599	8824
ENSG00000192387	46	72	77	34	56
ENSG00000230906	1177	2060	2955	2455	2186
ENSG00000195197	1005	807	771	1145	1166
ENSG00000151029	87	79	61	69	64
ENSG00000245116	12	6	1	3	4
ENSG00000248770	3243	2023	3195	2914	1892
ENSG00000150084	17	6	4	10	2
ENSG00000172020	41	60	44	87	34
ENSG00000135846	1433	721	776	1298	714
ENSG00000110385	3253	1093	1283	1669	1355
ENSG00000169495	25	23	17	20	13
ENSG00000245123	213	126	224	156	141
ENSG00000151466	184	79	69	118	32
ENSG00000105397	2964	1281	1834	928	978
ENSG00000153707	30760	19126	20273	31948	39784
ENSG00000136689	3	3	3	4	3
ENSG00000155740	813	460	904	564	368
ENSG00000111606	0	0	1	0	1
ENSG00000109773	72	175	95	119	138
ENSG00000241461	9	13	20	16	13
ENSG00000191297	9116	8534	4002	4636	4070
ENSG00000119380	126	218	233	215	193
ENSG00000231354	51	23	32	34	39
ENSG00000141698	63	119	47	31	76
ENSG00000162865	56	66	29	56	17
ENSG00000187576	224	188	338	235	165
ENSG00000177874	110	99	59	64	112
ENSG00000176597	868	554	480	522	746
ENSG00000132790	3422	4750	3491	3260	3810
ENSG00000224196	655	633	573	367	763
ENSG00000208939	31	19	20	12	12
ENSG00000110647	5	12	8	2	7
ENSG00000166686	54	48	43	35	21
ENSG00000128299	613	1549	1054	938	759
ENSG00000221797	76	87	82	95	74
ENSG00000144989	44	9	32	56	14
ENSG00000155473	191	255	310	205	107
ENSG00000155800	14	2	2	6	18
ENSG00000106215	22	8	9	15	10
ENSG00000144239	251	331	412	399	246
ENSG00000100644	69	93	88	97	124
ENSG00000135941	40	52	45	70	86
ENSG00000133776	146	293	294	244	248
ENSG00000157237	15	37	46	25	41
ENSG00000243545	90	26	28	43	59
ENSG00000100012	71	104	62	88	42
ENSG00000212225	335	639	356	440	423
ENSG00000132072	144	261	130	159	94
ENSG00000186264	17	11	24	1	14
ENSG00000224403	40	93	38	46	62
ENSG00000193970	370	393	373	454	698
ENSG00000174246	11315	7893	3546	7327	6366
ENSG00000199340	16	13	22	7	22
ENSG00000216280	290	326	188	426	178
ENSG00000208130	40	50	84	63	104
ENSG00000246627	748	763	668	938	530
ENSG00000171738	230	301	545	202	575
ENSG00000203081	3789	2566	2486	2311	3381
ENSG00000194887	635	376	617	343	309
ENSG00000237076	124	41	69	26	70
ENSG00000153167	69	41	58	54	61
ENSG00000216031	256	400	367	305	305
ENSG00000136648	244	374	371	318	588
ENSG00000156723	12479	14003	23490	8480	9116
ENSG00000240678	4477	4311	4160	5064	2811
ENSG00000146720	17	21	18	12	12
ENSG00000244520	401	171	405	240	234
ENSG00000240440	11	12	3	15	4
ENSG00000190627	4	4	12	7	3
ENSG00000205101	602	524	694	377	770
ENSG00000163866	348	442	565	344	469
ENSG00000105601	23	14	11	22	14
ENSG00000103801	3259	5815	5496	4166	3061
ENSG00000229219	18	20	14	20	27
ENSG00000222707	17	22	15	11	5
ENSG00000192903	468	562	397	397	454
ENSG00000161565	281	270	299	102	240
ENSG00000241023	149	75	128	91	147
ENSG00000197926	83	184	165	185	268
ENSG00000121816	308	206	185	258	241
ENSG00000176561	91	74	118	152	126
ENSG00000236123	122	53	76	65	117
ENSG00000109501	4	1	0	4	1
ENSG00000117671	8	4	15	5	17
ENSG00000183944	758	353	515	512	871
ENSG00000169786	15	33	46	41	28
ENSG00000184906	328	437	470	388	348
ENSG00000129048	1267	1300	1862	1503	1943
ENSG00000220348	80	76	84	61	36
ENSG00000206661	313	174	379	297	170
ENSG00000188929	10687	10707	8993	6479	5763
ENSG00000176350	645	796	387	691	383
ENSG00000118418	5272	1661	9090	4834	5147
ENSG00000245758	4491	2661	3230	4650	3998
ENSG00000194425	587	831	503	720	775
ENSG00000180092	44	87	121	143	137
ENSG00000118505	28	17	32	20	13
ENSG00000214981	17	12	10	19	18
ENSG00000228303	430	425	668	301	237
ENSG00000223735	999	682	398	316	346
ENSG00000231306	84	39	87	109	84
ENSG00000224806	448	1253	1194	774	1111
ENSG00000141649	33	40	28	15	46
ENSG00000213692	1966	2162	952	1099	1147
ENSG00000161269	141	155	148	156	183
ENSG00000198704	101	186	161	146	105
ENSG00000245908	183	75	175	114	110
ENSG00000176710	161	121	104	124	193
ENSG00000223813	23521	32481	20486	19497	24069
ENSG00000130008	5	2	4	6	4
ENSG00000196692	216	156	215	133	181
ENSG00000105505	2831	1126	2427	1570	1431
ENSG00000156407	480	528	762	604	445
ENSG00000125670	72	59	61	71	113
ENSG00000153937	4723	3859	5373	6923	8925
ENSG00000131351	15	9	14	10	14
ENSG00000154863	14	9	4	4	10
ENSG00000101939	1254	351	444	563	541
ENSG00000167509	4	6	8	6	11
ENSG00000137470	0	4	1	0	1
ENSG00000241908	1665	522	531	848	926
ENSG00000144745	836	547	807	800	588
ENSG00000138556	572	475	753	599	563
ENSG00000162341	63	54	51	63	75
ENSG00000214544	262	175	225	262	190
ENSG00000225727	11	15	23	22	27
ENSG00000152438	4856	5435	3476	5195	4943
ENSG00000183883	555	550	660	912	822
ENSG00000126276	632	402	600	520	657
ENSG00000236024	3	2	2	2	6
ENSG00000223947	751	451	853	769	1106
ENSG00000238942	3302	1816	2579	2356	1302
ENSG00000120510	2467	1517	2142	2190	1153
ENSG00000236066	820	943	704	840	461
ENSG00000176698	170	225	201	226	230
ENSG00000191540	89	74	85	79	84
ENSG00000240743	995	329	591	573	743
ENSG00000227919	170	457	248	310	223
ENSG00000114158	110	211	235	356	235
ENSG00000126938	97	103	91	80	80
ENSG00000227422	2810	3627	6141	2785	2471
ENSG00000236738	19	10	17	18	12
ENSG00000231834	97	143	137	229	180
ENSG00000234609	65	63	45	44	41
ENSG00000237326	1553	805	657	1238	1106
ENSG00000149086	2258	2956	2012	2545	1661
ENSG00000216027	1410	2349	1246	1664	1680
ENSG00000188347	539	441	816	314	752
ENSG00000152715	9	13	17	7	11
ENSG00000134061	7100	5599	10593	9341	12789
ENSG00000184602	297	280	324	447	337
ENSG00000171803	94	121	81	141	60
ENSG00000247383	206	101	87	127	132
ENSG00000155434	69	22	59	126	109
ENSG00000193565	328	311	498	487	753
ENSG00000211867	223	153	282	174	298
ENSG00000166657	60	85	88	69	71
ENSG00000131395	1	1	1	1	3
ENSG00000179918	120	47	78	132	76
ENSG00000170516	581	204	329	366	259
ENSG00000238749	549	275	221	501	325
ENSG00000198453	111	175	148	130	155
ENSG00000188565	237	392	251	650	298
ENSG00000126329	692	1054	800	1609	944
ENSG00000134797	92	80	51	48	53
ENSG00000205109	3606	2135	1400	2269	2452
ENSG00000179471	3	2	3	3	2
ENSG00000148166	10	7	13	11	19
ENSG00000117048	15	25	19	10	13
ENSG00000145120	0	1	1	0	1
ENSG00000148062	16	33	28	16	20
ENSG00000127239	1167	1812	2785	976	2686
ENSG00000172587	3937	2591	1835	1412	1153
ENSG00000130510	178	209	322	269	167
ENSG00000177022	3232	5873	6910	3483	5054
ENSG00000234691	337	234	237	246	190
ENSG00000223106	20	42	19	58	38
ENSG00000209477	223	335	179	70	148
ENSG00000174265	80	164	109	143	101
ENSG00000165212	848	1133	533	435	811
ENSG00000143135	6	15	7	10	7
ENSG00000105366	1120	811	914	577	531
ENSG00000237745	49	57	46	26	69
ENSG00000244798	678	991	634	931	478
ENSG00000206192	14	11	2	7	8
ENSG00000141466	50	64	85	60	34
ENSG00000120051	191	139	180	95	164
ENSG00000229426	568	1091	616	1045	572
ENSG00000224079	13	15	10	9	1
ENSG00000183166	4880	5721	6390	2657	4071
ENSG00000164761	768	374	632	374	540
ENSG00000129740	58	69	54	39	26
ENSG00000120287	1766	1282	1784	1682	1405
ENSG00000153223	98	217	120	85	204
ENSG00000173932	2553	1007	1552	2236	1746
ENSG00000182233	15493	10831	17828	10186	9707
ENSG00000216899	400	701	541	1072	734
ENSG00000200959	65	29	51	53	43
ENSG00000246396	46	92	59	89	42
ENSG00000243396	366	429	226	222	619
ENSG00000140357	225	84	231	205	108
ENSG00000135126	35	32	12	17	38
ENSG00000158474	56	35	60	28	26
ENSG00000172326	481	475	767	517	507
ENSG00000224983	14101	11293	8073	11774	19627
ENSG00000134274	2	0	0	1	3
ENSG00000187192	521	366	886	498	690
ENSG00000237248	88	118	84	111	82
ENSG00000217110	689	594	594	486	992
ENSG00000205638	756	743	340	696	634
ENSG00000101736	104	254	220	210	226
ENSG00000171734	21	23	29	34	15
ENSG00000186682	24	9	9	8	8
ENSG00000174452	5	4	3	2	9
ENSG00000216886	1358	1307	2228	542	1353
ENSG00000189894	129	118	99	84	134
ENSG00000109460	35	46	56	61	40
ENSG00000208877	81	54	45	100	107
ENSG00000121034	15	7	10	16	10
ENSG00000134492	337	388	214	303	242
ENSG00000123126	2070	1774	2051	2843	2121
ENSG00000163930	1342	709	1192	1027	1350
ENSG00000111042	5	4	5	12	11
ENSG00000161877	3253	2728	2698	2480	2032
ENSG00000135600	23	20	17	33	49
ENSG00000118387	3	5	2	2	7
ENSG00000198356	14	5	7	26	13
ENSG00000202660	12	8	20	8	17
ENSG00000198856	178	112	115	217	228
ENSG00000205812	11	13	11	19	14
ENSG00000160940	1	14	7	3	3
ENSG00000180861	80	87	91	76	183
ENSG00000135580	5820	6025	8753	5686	9330
ENSG00000229770	32	27	23	29	22
ENSG00000152049	420	363	176	394	430
ENSG00000196556	473	105	211	174	232
ENSG00000168222	34648	34140	14915	23482	40118
ENSG00000141082	1	3	4	5	8
ENSG00000169342	2188	1104	708	1267	1647
ENSG00000119011	6	13	8	17	15
ENSG00000132338	44	57	35	32	30
ENSG00000100267	72	94	119	143	109
ENSG00000145623	52586	57328	50810	43402	49502
ENSG00000222723	30	58	46	39	29
ENSG00000211885	3	3	4	3	1
