	N61311_untreated	N61311_dex	N052611_untreated	N052611_dex	N080611_untreated	N080611_dex	N61311R_untreated	N61311R_dex
ENSG00000198875	578	1323	1201	1783	827	781	1096	724
ENSG00000123234	6	6	1	0	5	10	3	5
ENSG00000197304	155	160	533	219	684	215	457	176
ENSG00000241987	1937	2181	1546	2518	2888	2463	2039	1559
ENSG00000113367	5571	3534	5217	6207	10724	3885	8244	4772
ENSG00000188519	262	301	244	469	477	512	276	557
ENSG00000244639	472	1379	926	638	903	1651	908	999
ENSG00000132598	61	48	58	45	39	53	40	56
ENSG00000188062	93	25	90	76	53	59	79	57
ENSG00000206329	1774	1430	769	1398	1446	1119	1224	1601
ENSG00000150463	111	187	98	141	202	127	170	117
ENSG00000117415	126	150	123	99	73	145	143	64
ENSG00000127203	7	6	6	7	6	13	11	8
ENSG00000178902	221	366	200	200	258	128	224	282
ENSG00000107041	567	414	472	574	737	431	582	306
ENSG00000176172	41	37	29	33	26	27	23	40
ENSG00000239031	74	23	77	75	50	62	46	33
ENSG00000173972	2166	5165	2642	1844	2020	2154	3841	2711
ENSG00000153911	193	171	198	187	152	204	257	139
ENSG00000186499	47	78	83	87	84	109	77	112
ENSG00000149381	8	9	9	22	17	12	5	8
ENSG00000233435	27	61	31	28	69	38	23	24
ENSG00000237363	65	79	95	74	36	43	111	69
ENSG00000153675	2724	1452	1809	2205	3416	1676	1588	2560
ENSG00000134808	92	42	116	59	146	31	58	54
ENSG00000174966	7733	5445	4321	3842	3219	5558	2539	9233
ENSG00000122564	19	15	40	15	36	13	12	26
ENSG00000241833	80	48	64	60	37	65	73	67
ENSG00000215429	1115	783	705	593	1447	726	704	1093
ENSG00000232112	130	86	67	88	98	97	65	94
ENSG00000235460	27	16	39	36	35	19	17	21
ENSG00000197766	82	57	152	84	144	80	139	51
ENSG00000212370	355	385	273	365	706	243	350	286
ENSG00000242450	1	3	11	7	6	3	2	3
ENSG00000210730	69	74	114	50	61	110	47	82
ENSG00000243966	76	99	148	91	153	100	202	144
ENSG00000104785	57	92	71	45	57	73	66	70
ENSG00000106633	641	380	536	612	325	671	1177	847
ENSG00000169691	35	37	42	39	67	55	67	65
ENSG00000122171	142	53	125	87	148	78	104	86
ENSG00000112361	130	169	97	72	268	129	148	134
ENSG00000165913	470	490	500	849	775	647	704	252
ENSG00000178500	92	53	65	88	40	125	97	84
ENSG00000106318	2252	3514	2267	1457	3032	2494	5562	3827
ENSG00000225012	43	65	28	26	39	12	50	22
ENSG00000213880	1514	1112	1358	2742	1741	1153	3029	2261
ENSG00000138666	29	30	15	20	38	25	19	21
ENSG00000114170	65	107	185	90	121	181	130	104
ENSG00000178526	238	292	172	261	285	106	298	290
ENSG00000160265	8352	5540	7173	7630	10427	7958	12477	6972
ENSG00000121655	652	787	620	981	443	843	646	1182
ENSG00000148143	40	73	74	58	61	88	49	89
ENSG00000240973	913	1790	1225	2798	1955	2173	1261	2605
ENSG00000187170	81	87	70	102	80	81	136	89
ENSG00000146608	22	36	29	11	16	61	24	18
ENSG00000211696	894	174	388	473	282	238	260	253
ENSG00000230742	242	114	305	163	414	167	287	232
ENSG00000112088	1058	1845	1242	325	517	1959	678	1346
ENSG00000161277	58	46	44	45	57	31	72	50
ENSG00000134294	213	342	285	223	466	326	350	284
ENSG00000200574	709	442	312	748	357	464	646	910
ENSG00000246145	212	392	163	260	151	293	204	225
ENSG00000243861	82	154	106	154	143	111	161	112
ENSG00000233910	39	41	49	63	53	30	69	37
ENSG00000244986	895	529	810	534	734	852	551	539
ENSG00000174752	195	103	163	141	153	173	80	292
ENSG00000119833	195	459	162	185	543	297	369	270
ENSG00000146930	60	77	91	60	79	31	137	83
ENSG00000150879	224	111	118	154	110	312	163	132
ENSG00000236397	12	19	24	30	17	15	32	21
ENSG00000149158	143	147	206	229	111	141	123	140
ENSG00000168586	343	772	549	683	907	831	1036	703
ENSG00000160082	197	198	416	107	280	196	279	180
ENSG00000124317	632	414	788	532	1120	963	543	932
ENSG00000117907	564	259	787	146	494	191	277	249
ENSG00000171398	1410	2549	1489	2175	3042	2019	2507	2506
ENSG00000214214	110	93	111	100	133	127	67	146
ENSG00000213187	11	10	3	9	6	0	3	7
ENSG00000154667	459	229	202	690	176	252	216	407
ENSG00000201582	56	74	96	107	71	80	164	94
ENSG00000196286	20	15	33	24	26	24	33	20
ENSG00000238315	566	621	535	539	328	492	445	562
ENSG00000152941	217	155	431	381	338	240	117	227
ENSG00000175539	572	116	655	418	332	247	379	252
ENSG00000192099	64	33	60	84	86	151	55	54
ENSG00000219553	215	237	201	142	274	169	246	161
ENSG00000172867	252	206	138	255	198	313	362	274
ENSG00000145812	2650	8758	7894	5742	7643	5194	5712	6161
ENSG00000152377	20	32	21	18	46	23	16	78
ENSG00000132684	128	137	80	192	178	186	130	107
ENSG00000150487	282	236	282	532	197	104	298	406
ENSG00000176017	5	6	4	5	3	1	8	2
ENSG00000212670	7	10	8	6	4	5	5	7
ENSG00000106022	11737	13682	9687	9615	14037	14092	13488	6658
ENSG00000233016	3	1	4	9	4	3	2	2
ENSG00000210935	174	380	580	528	508	330	439	334
ENSG00000117456	37	16	15	23	27	28	35	25
ENSG00000234552	39	29	62	26	26	42	42	27
ENSG00000105740	4	3	4	4	9	2	3	1
ENSG00000226454	13	13	27	34	44	21	14	19
ENSG00000134719	636	527	518	823	660	1140	730	621
ENSG00000217473	15	7	21	9	3	17	13	6
ENSG00000166112	327	431	591	619	360	674	728	384
ENSG00000146962	166	222	243	443	330	433	305	380
ENSG00000115218	5796	5048	9349	9537	10450	7599	6174	8824
ENSG00000192387	46	72	72	77	43	34	31	56
ENSG00000230906	1177	2060	1667	2955	2395	2455	1269	2186
ENSG00000195197	1005	807	661	771	1401	1145	695	1166
ENSG00000151029	87	79	101	61	66	69	102	64
ENSG00000245116	12	6	19	1	21	3	13	4
ENSG00000248770	3243	2023	1494	3195	2229	2914	2879	1892
ENSG00000150084	17	6	8	4	10	10	12	2
ENSG00000172020	41	60	43	44	51	87	42	34
ENSG00000135846	1433	721	1071	776	1609	1298	1224	714
ENSG00000110385	3253	1093	2043	1283	2468	1669	2485	1355
ENSG00000169495	25	23	18	17	24	20	58	13
ENSG00000245123	213	126	152	224	160	156	180	141
ENSG00000151466	184	79	179	69	156	118	357	32
ENSG00000105397	2964	1281	1461	1834	1028	928	1061	978
ENSG00000153707	30760	19126	26164	20273	21327	31948	13218	39784
ENSG00000136689	3	3	3	3	2	4	5	3
ENSG00000155740	813	460	634	904	511	564	543	368
ENSG00000111606	0	0	1	1	2	0	0	1
ENSG00000109773	72	175	207	95	193	119	130	138
ENSG00000241461	9	13	21	20	16	16	10	13
ENSG00000191297	9116	8534	12041	4002	4431	4636	4926	4070
ENSG00000119380	126	218	202	233	214	215	201	193
ENSG00000231354	51	23	44	32	64	34	70	39
ENSG00000141698	63	119	52	47	68	31	67	76
ENSG00000162865	56	66	40	29	58	56	70	17
ENSG00000187576	224	188	338	338	263	235	224	165
ENSG00000177874	110	99	109	59	69	64	74	112
ENSG00000176597	868	554	691	480	444	522	762	746
ENSG00000132790	3422	4750	3466	3491	2059	3260	2727	3810
ENSG00000224196	655	633	1129	573	372	367	454	763
ENSG00000208939	31	19	22	20	12	12	38	12
ENSG00000110647	5	12	10	8	4	2	7	7
ENSG00000166686	54	48	24	43	51	35	29	21
ENSG00000128299	613	1549	2029	1054	1367	938	1288	759
ENSG00000221797	76	87	108	82	58	95	67	74
ENSG00000144989	44	9	20	32	36	56	47	14
ENSG00000155473	191	255	259	310	98	205	164	107
ENSG00000155800	14	2	15	2	4	6	8	18
ENSG00000106215	22	8	57	9	36	15	17	10
ENSG00000144239	251	331	220	412	380	399	562	246
ENSG00000100644	69	93	80	88	76	97	50	124
ENSG00000135941	40	52	25	45	66	70	57	86
ENSG00000133776	146	293	237	294	218	244	352	248
ENSG00000157237	15	37	52	46	58	25	61	41
ENSG00000243545	90	26	83	28	74	43	174	59
ENSG00000100012	71	104	87	62	63	88	34	42
ENSG00000212225	335	639	336	356	261	440	459	423
ENSG00000132072	144	261	110	130	83	159	200	94
ENSG00000186264	17	11	3	24	13	1	24	14
ENSG00000224403	40	93	66	38	77	46	84	62
ENSG00000193970	370	393	408	373	578	454	465	698
ENSG00000174246	11315	7893	4945	3546	4858	7327	8894	6366
ENSG00000199340	16	13	16	22	12	7	27	22
ENSG00000216280	290	326	310	188	176	426	170	178
ENSG00000208130	40	50	72	84	45	63	84	104
ENSG00000246627	748	763	867	668	981	938	545	530
ENSG00000171738	230	301	282	545	345	202	276	575
ENSG00000203081	3789	2566	2176	2486	2544	2311	3607	3381
ENSG00000194887	635	376	504	617	461	343	437	309
ENSG00000237076	124	41	102	69	161	26	81	70
ENSG00000153167	69	41	68	58	40	54	41	61
ENSG00000216031	256	400	298	367	279	305	326	305
ENSG00000136648	244	374	422	371	438	318	407	588
ENSG00000156723	12479	14003	19171	23490	20420	8480	12434	9116
ENSG00000240678	4477	4311	3499	4160	3604	5064	4394	2811
ENSG00000146720	17	21	15	18	16	12	14	12
ENSG00000244520	401	171	286	405	221	240	290	234
ENSG00000240440	11	12	10	3	6	15	20	4
ENSG00000190627	4	4	4	12	7	7	1	3
ENSG00000205101	602	524	577	694	736	377	426	770
ENSG00000163866	348	442	405	565	323	344	481	469
ENSG00000105601	23	14	15	11	14	22	17	14
ENSG00000103801	3259	5815	3466	5496	2941	4166	3056	3061
ENSG00000229219	18	20	17	14	19	20	17	27
ENSG00000222707	17	22	17	15	16	11	19	5
ENSG00000192903	468	562	588	397	853	397	592	454
ENSG00000161565	281	270	209	299	146	102	182	240
ENSG00000241023	149	75	89	128	137	91	149	147
ENSG00000197926	83	184	99	165	116	185	111	268
ENSG00000121816	308	206	164	185	95	258	171	241
ENSG00000176561	91	74	103	118	145	152	117	126
ENSG00000236123	122	53	84	76	77	65	103	117
ENSG00000109501	4	1	1	0	6	4	6	1
ENSG00000117671	8	4	8	15	7	5	12	17
ENSG00000183944	758	353	406	515	504	512	415	871
ENSG00000169786	15	33	51	46	12	41	51	28
ENSG00000184906	328	437	416	470	524	388	476	348
ENSG00000129048	1267	1300	812	1862	950	1503	1222	1943
ENSG00000220348	80	76	67	84	31	61	53	36
ENSG00000206661	313	174	206	379	378	297	374	170
ENSG00000188929	10687	10707	8667	8993	12467	6479	5127	5763
ENSG00000176350	645	796	638	387	506	691	307	383
ENSG00000118418	5272	1661	4768	9090	8614	4834	4895	5147
ENSG00000245758	4491	2661	2395	3230	2914	4650	2389	3998
ENSG00000194425	587	831	710	503	911	720	870	775
ENSG00000180092	44	87	141	121	109	143	99	137
ENSG00000118505	28	17	29	32	31	20	23	13
ENSG00000214981	17	12	23	10	12	19	14	18
ENSG00000228303	430	425	369	668	353	301	353	237
ENSG00000223735	999	682	405	398	674	316	816	346
ENSG00000231306	84	39	105	87	145	109	68	84
ENSG00000224806	448	1253	870	1194	701	774	600	1111
ENSG00000141649	33	40	47	28	24	15	36	46
ENSG00000213692	1966	2162	957	952	1656	1099	1514	1147
ENSG00000161269	141	155	276	148	159	156	64	183
ENSG00000198704	101	186	107	161	121	146	177	105
ENSG00000245908	183	75	179	175	174	114	151	110
ENSG00000176710	161	121	59	104	145	124	65	193
ENSG00000223813	23521	32481	18621	20486	20569	19497	29719	24069
ENSG00000130008	5	2	1	4	9	6	9	4
ENSG00000196692	216	156	93	215	128	133	199	181
ENSG00000105505	2831	1126	3991	2427	2240	1570	3396	1431
ENSG00000156407	480	528	304	762	385	604	584	445
ENSG00000125670	72	59	123	61	109	71	85	113
ENSG00000153937	4723	3859	3676	5373	3972	6923	4934	8925
ENSG00000131351	15	9	21	14	12	10	18	14
ENSG00000154863	14	9	17	4	6	4	12	10
ENSG00000101939	1254	351	775	444	792	563	795	541
ENSG00000167509	4	6	11	8	8	6	7	11
ENSG00000137470	0	4	2	1	0	0	3	1
ENSG00000241908	1665	522	722	531	913	848	892	926
ENSG00000144745	836	547	810	807	399	800	447	588
ENSG00000138556	572	475	632	753	652	599	697	563
ENSG00000162341	63	54	62	51	45	63	34	75
ENSG00000214544	262	175	140	225	258	262	182	190
ENSG00000225727	11	15	22	23	14	22	17	27
ENSG00000152438	4856	5435	4726	3476	4555	5195	6396	4943
ENSG00000183883	555	550	886	660	644	912	772	822
ENSG00000126276	632	402	722	600	1008	520	862	657
ENSG00000236024	3	2	4	2	1	2	4	6
ENSG00000223947	751	451	810	853	1161	769	793	1106
ENSG00000238942	3302	1816	3902	2579	3715	2356	3506	1302
ENSG00000120510	2467	1517	2054	2142	1078	2190	983	1153
ENSG00000236066	820	943	744	704	895	840	766	461
ENSG00000176698	170	225	178	201	222	226	109	230
ENSG00000191540	89	74	93	85	71	79	53	84
ENSG00000240743	995	329	745	591	902	573	585	743
ENSG00000227919	170	457	302	248	198	310	433	223
ENSG00000114158	110	211	267	235	166	356	195	235
ENSG00000126938	97	103	58	91	66	80	39	80
ENSG00000227422	2810	3627	3334	6141	2927	2785	6277	2471
ENSG00000236738	19	10	5	17	22	18	10	12
ENSG00000231834	97	143	102	137	156	229	48	180
ENSG00000234609	65	63	54	45	63	44	72	41
ENSG00000237326	1553	805	860	657	1194	1238	468	1106
ENSG00000149086	2258	2956	1700	2012	3364	2545	3891	1661
ENSG00000216027	1410	2349	1958	1246	1416	1664	2061	1680
ENSG00000188347	539	441	789	816	771	314	534	752
ENSG00000152715	9	13	6	17	7	7	15	11
ENSG00000134061	7100	5599	11708	10593	8624	9341	6340	12789
ENSG00000184602	297	280	445	324	463	447	346	337
ENSG00000171803	94	121	83	81	111	141	79	60
ENSG00000247383	206	101	97	87	100	127	154	132
ENSG00000155434	69	22	38	59	77	126	85	109
ENSG00000193565	328	311	445	498	362	487	487	753
ENSG00000211867	223	153	173	282	304	174	279	298
ENSG00000166657	60	85	82	88	51	69	44	71
ENSG00000131395	1	1	1	1	2	1	4	3
ENSG00000179918	120	47	112	78	123	132	101	76
ENSG00000170516	581	204	656	329	1100	366	754	259
ENSG00000238749	549	275	820	221	835	501	1091	325
ENSG00000198453	111	175	121	148	199	130	50	155
ENSG00000188565	237	392	345	251	265	650	315	298
ENSG00000126329	692	1054	1051	800	909	1609	1256	944
ENSG00000134797	92	80	58	51	75	48	59	53
ENSG00000205109	3606	2135	2772	1400	3134	2269	3034	2452
ENSG00000179471	3	2	4	3	1	3	3	2
ENSG00000148166	10	7	13	13	5	11	12	19
ENSG00000117048	15	25	35	19	20	10	32	13
ENSG00000145120	0	1	3	1	3	0	1	1
ENSG00000148062	16	33	21	28	15	16	33	20
ENSG00000127239	1167	1812	1282	2785	1254	976	1080	2686
ENSG00000172587	3937	2591	3974	1835	3806	1412	3151	1153
ENSG00000130510	178	209	174	322	90	269	201	167
ENSG00000177022	3232	5873	3205	6910	2443	3483	3005	5054
ENSG00000234691	337	234	157	237	206	246	244	190
ENSG00000223106	20	42	40	19	52	58	61	38
ENSG00000209477	223	335	140	179	98	70	168	148
ENSG00000174265	80	164	127	109	61	143	80	101
ENSG00000165212	848	1133	543	533	694	435	867	811
ENSG00000143135	6	15	4	7	10	10	11	7
ENSG00000105366	1120	811	1108	914	1257	577	1178	531
ENSG00000237745	49	57	56	46	50	26	54	69
ENSG00000244798	678	991	581	634	521	931	1322	478
ENSG00000206192	14	11	6	2	12	7	8	8
ENSG00000141466	50	64	61	85	60	60	46	34
ENSG00000120051	191	139	148	180	145	95	228	164
ENSG00000229426	568	1091	1063	616	1026	1045	551	572
ENSG00000224079	13	15	6	10	10	9	20	1
ENSG00000183166	4880	5721	2811	6390	5267	2657	4256	4071
ENSG00000164761	768	374	453	632	801	374	451	540
ENSG00000129740	58	69	42	54	71	39	70	26
ENSG00000120287	1766	1282	1546	1784	1882	1682	1257	1405
ENSG00000153223	98	217	180	120	102	85	210	204
ENSG00000173932	2553	1007	1034	1552	1965	2236	2151	1746
ENSG00000182233	15493	10831	16414	17828	19126	10186	19752	9707
ENSG00000216899	400	701	408	541	688	1072	744	734
ENSG00000200959	65	29	34	51	47	53	63	43
ENSG00000246396	46	92	40	59	74	89	50	42
ENSG00000243396	366	429	453	226	344	222	368	619
ENSG00000140357	225	84	116	231	324	205	152	108
ENSG00000135126	35	32	19	12	40	17	14	38
ENSG00000158474	56	35	40	60	37	28	55	26
ENSG00000172326	481	475	656	767	302	517	601	507
ENSG00000224983	14101	11293	17769	8073	5425	11774	19523	19627
ENSG00000134274	2	0	1	0	1	1	2	3
ENSG00000187192	521	366	648	886	536	498	426	690
ENSG00000237248	88	118	76	84	68	111	89	82
ENSG00000217110	689	594	561	594	649	486	807	992
ENSG00000205638	756	743	789	340	871	696	762	634
ENSG00000101736	104	254	245	220	118	210	94	226
ENSG00000171734	21	23	14	29	29	34	9	15
ENSG00000186682	24	9	13	9	40	8	18	8
ENSG00000174452	5	4	1	3	2	2	1	9
ENSG00000216886	1358	1307	3341	2228	2459	542	1692	1353
ENSG00000189894	129	118	90	99	125	84	75	134
ENSG00000109460	35	46	56	56	28	61	24	40
ENSG00000208877	81	54	104	45	77	100	101	107
ENSG00000121034	15	7	6	10	11	16	3	10
ENSG00000134492	337	388	185	214	103	303	352	242
ENSG00000123126	2070	1774	2518	2051	1821	2843	2635	2121
ENSG00000163930	1342	709	1502	1192	1693	1027	1512	1350
ENSG00000111042	5	4	7	5	6	12	5	11
ENSG00000161877	3253	2728	2456	2698	2025	2480	2453	2032
ENSG00000135600	23	20	16	17	32	33	38	49
ENSG00000118387	3	5	2	2	1	2	6	7
ENSG00000198356	14	5	10	7	22	26	12	13
ENSG00000202660	12	8	31	20	19	8	20	17
ENSG00000198856	178	112	164	115	110	217	244	228
ENSG00000205812	11	13	29	11	10	19	15	14
ENSG00000160940	1	14	5	7	6	3	4	3
ENSG00000180861	80	87	93	91	106	76	128	183
ENSG00000135580	5820	6025	5789	8753	7328	5686	4057	9330
ENSG00000229770	32	27	39	23	36	29	55	22
ENSG00000152049	420	363	203	176	309	394	352	430
ENSG00000196556	473	105	338	211	236	174	154	232
ENSG00000168222	34648	34140	33159	14915	30306	23482	22133	40118
ENSG00000141082	1	3	4	4	5	5	2	8
ENSG00000169342	2188	1104	1404	708	1724	1267	3445	1647
ENSG00000119011	6	13	8	8	16	17	17	15
ENSG00000132338	44	57	36	35	17	32	18	30
ENSG00000100267	72	94	73	119	109	143	144	109
ENSG00000145623	52586	57328	40304	50810	38259	43402	36813	49502
ENSG00000222723	30	58	14	46	49	39	34	29
ENSG00000211885	3	3	4	4	4	3	5	1
ENSG00000211375	3420	2476	3024	1481	3388	1887	3577	2049
ENSG00000187326	13	25	38	34	33	21	39	39
ENSG00000249975	126	46	188	32	345	81	157	68
ENSG00000186299	136	193	132	179	142	164	146	277
ENSG00000145029	159	118	105	222	133	123	320	162
ENSG00000207076	97	127	80	49	57	147	90	95
ENSG00000213008	180	182	300	190	244	320	271	253
ENSG00000110141	318	280	260	332	375	288	451	333
ENSG00000114775	637	962	1345	1020	963	691	559	762
ENSG00000247063	50	31	78	47	22	100	81	35
ENSG00000171149	27	53	30	31	29	48	45	36
ENSG00000214165	11	11	12	9	15	27	27	18
ENSG00000177976	635	361	287	413	509	443	129	382
ENSG00000205938	115	112	222	118	160	110	113	198
ENSG00000147660	455	273	447	442	512	458	790	323
ENSG00000100127	339	359	365	334	332	374	697	470
ENSG00000225007	4753	2865	3270	5773	4803	4242	5362	4707
ENSG00000120445	428	148	330	93	209	259	184	157
ENSG00000161428	1015	534	943	571	458	584	187	594
ENSG00000174089	11	20	14	35	4	10	11	7
ENSG00000188125	27	32	16	3	22	8	17	17
ENSG00000107062	62	69	62	78	50	55	53	147
ENSG00000219422	5	9	10	7	6	16	13	15
ENSG00000107760	779	431	602	380	387	335	448	558
ENSG00000159386	20	7	20	11	10	2	11	6
ENSG00000126589	224	135	186	132	134	89	236	221
ENSG00000218698	0	0	1	0	2	0	3	1
ENSG00000202462	14	23	7	20	16	12	17	19
ENSG00000202151	72	78	93	56	81	67	93	50
ENSG00000166276	110	107	130	40	72	91	71	104
ENSG00000220230	3	1	3	5	3	3	7	8
ENSG00000189504	543	275	331	274	553	163	276	176
ENSG00000243952	1527	935	874	954	986	628	878	746
ENSG00000242489	459	425	443	489	468	459	721	457
ENSG00000126987	61	41	79	53	47	39	41	26
ENSG00000110089	58	32	81	30	60	25	59	60
ENSG00000180981	25	13	21	10	10	12	20	15
ENSG00000180086	501	533	705	443	299	258	472	728
ENSG00000120717	3014	2535	2618	1998	3279	1921	3595	2512
ENSG00000169093	153	34	102	26	133	51	111	39
ENSG00000212647	3	8	4	6	9	5	10	6
ENSG00000156464	120	161	197	441	187	140	163	108
ENSG00000119079	519	686	430	924	922	953	450	379
ENSG00000239257	0	0	1	1	0	0	1	1
ENSG00000153367	158	175	217	196	95	203	184	181
ENSG00000118637	6661	11147	12981	12615	18884	8643	11125	11301
ENSG00000144851	647	1023	620	467	916	439	982	528
ENSG00000221497	309	560	186	271	677	285	373	362
ENSG00000236338	155	378	233	491	415	346	178	462
ENSG00000172319	1072	1617	2328	1863	1218	2555	562	1235
ENSG00000182722	35	15	27	25	21	14	22	26
ENSG00000108664	113	25	80	20	24	2	24	36
ENSG00000116526	204	339	331	351	507	603	293	505
ENSG00000160531	66	55	12	21	20	56	46	42
ENSG00000167479	280	163	131	204	287	367	377	166
ENSG00000158904	2	2	2	2	2	1	1	3
ENSG00000124369	544	242	633	358	780	703	368	964
ENSG00000105012	480	335	618	409	718	413	710	609
ENSG00000241664	219	201	116	134	220	113	141	121
ENSG00000167881	133	136	97	162	153	214	112	150
ENSG00000184290	4281	3554	3169	5347	3474	5513	1998	4985
ENSG00000132121	17	27	10	9	7	19	10	13
ENSG00000150977	27	30	10	10	19	15	20	17
ENSG00000116570	15	10	15	15	43	19	19	27
ENSG00000154186	51	92	77	62	68	23	63	99
ENSG00000234601	19	25	25	5	33	29	19	29
ENSG00000116515	172	216	167	202	149	116	218	142
ENSG00000207859	94	34	62	40	70	34	82	26
ENSG00000106287	14	5	20	5	11	11	20	8
ENSG00000106417	5	5	4	3	13	8	7	7
ENSG00000248045	1677	1497	1974	1643	1266	3014	1923	1594
ENSG00000219291	193	68	115	99	205	141	189	103
ENSG00000163955	178	129	144	92	41	76	41	56
ENSG00000108634	200	118	119	118	110	118	105	93
ENSG00000116924	184	88	150	159	147	130	126	97
ENSG00000220257	676	675	1011	626	506	1213	765	846
ENSG00000147049	272	347	609	550	658	321	354	309
ENSG00000114150	47	37	38	55	52	41	24	20
ENSG00000221889	15	16	43	22	34	19	48	18
ENSG00000189634	30	11	17	11	9	25	20	21
ENSG00000234280	12	12	15	11	15	12	13	4
ENSG00000225800	2027	3167	1892	3761	1648	1585	2220	2074
ENSG00000112880	10	41	19	19	29	21	38	28
ENSG00000145980	3	0	1	2	3	3	1	2
ENSG00000203227	25	15	22	24	10	9	33	10
ENSG00000115453	15	62	30	20	76	19	14	27
ENSG00000122090	230	278	173	484	279	290	190	306
ENSG00000121362	45	29	67	25	37	38	37	40
ENSG00000215862	403	315	488	358	338	493	595	329
ENSG00000130745	219	311	552	302	499	325	251	400
ENSG00000204225	2353	1937	1824	1492	1758	1945	1876	2610
ENSG00000205807	11621	10505	6486	4475	9490	15586	12460	12298
ENSG00000179927	35659	49796	36807	29768	58708	53388	46581	31639
ENSG00000218253	2162	2708	2092	2928	2550	3417	2005	863
ENSG00000210523	19	19	11	11	23	19	13	8
ENSG00000217735	213	60	80	100	221	72	144	63
ENSG00000131175	185	206	257	264	374	167	171	273
ENSG00000222756	6154	9768	7644	7760	10757	10747	5651	11549
ENSG00000138802	667	644	374	481	546	313	381	996
ENSG00000174521	5697	1225	2882	2397	3228	1586	2687	1506
ENSG00000228475	58	74	92	83	108	107	53	116
ENSG00000243374	415	370	595	730	570	948	330	414
ENSG00000120638	356	498	660	795	704	318	573	577
ENSG00000234707	42	88	83	51	61	77	71	49
ENSG00000185842	896	761	775	521	641	1152	833	546
ENSG00000173236	857	569	1373	529	1485	1426	1241	905
ENSG00000100667	158	101	92	143	162	60	129	71
ENSG00000215825	1287	1597	1551	1800	2202	849	1425	1091
ENSG00000156352	4252	4443	3807	3085	3769	3388	5321	7048
ENSG00000244508	157	140	121	178	104	259	169	210
ENSG00000103273	106	94	267	222	87	162	105	132
ENSG00000199554	83	105	45	86	79	89	32	54
ENSG00000244618	60	36	30	61	50	33	33	95
ENSG00000181786	446	201	219	157	354	175	484	248
ENSG00000186314	69	76	50	60	82	49	76	53
ENSG00000102369	49	65	73	58	118	74	58	58
ENSG00000150546	34	30	27	53	61	35	13	23
ENSG00000131873	8	4	5	4	2	4	17	5
ENSG00000236348	21	47	33	46	29	27	26	16
ENSG00000100137	90	243	238	279	232	312	171	350
ENSG00000167266	8	11	11	15	11	10	13	8
ENSG00000121876	26	50	27	50	37	49	42	61
ENSG00000202152	3026	5618	3137	3302	1834	4030	6108	3443
ENSG00000165538	1108	1214	793	966	1266	1509	1343	1080
ENSG00000137201	54	31	28	18	66	40	37	32
ENSG00000233649	434	294	308	680	677	1072	244	320
ENSG00000214061	56	47	39	39	46	50	53	26
ENSG00000217829	2657	5391	3804	4179	1981	5131	2498	2012
ENSG00000183085	74	53	50	40	58	35	48	41
ENSG00000158498	162	163	253	253	154	144	174	171
ENSG00000195376	3529	1017	2816	3317	2275	1602	2010	4022
ENSG00000123271	30	29	33	14	10	44	23	51
ENSG00000178275	2069	1824	2542	2102	918	1230	1868	2197
ENSG00000164796	36	20	52	27	60	32	57	34
ENSG00000100651	275	266	189	233	164	276	246	237
ENSG00000235556	60	77	96	84	51	88	59	136
ENSG00000204281	127	108	151	101	170	131	148	105
ENSG00000240838	309	307	208	212	74	241	283	207
ENSG00000120266	37	64	183	103	129	108	148	112
ENSG00000229751	27	32	23	21	26	12	28	25
ENSG00000222761	1113	919	1089	872	951	1502	997	1011
ENSG00000227997	571	664	338	1102	605	899	865	422
ENSG00000147265	2114	951	1575	2055	2684	1611	2512	1857
ENSG00000164465	2436	1498	1858	1788	3629	3298	1660	3944
ENSG00000129486	10	5	23	4	3	4	12	13
ENSG00000219405	1132	2545	2093	1750	1663	1528	1720	1491
ENSG00000241463	2299	1956	625	2051	1779	1661	2611	2788
ENSG00000163733	56	70	47	64	71	52	46	43
ENSG00000147689	1569	763	1334	790	1754	1403	1389	982
ENSG00000103468	3470	2979	1990	1549	2884	2365	2443	2983
ENSG00000222668	41	58	56	40	23	47	39	18
ENSG00000157700	7	8	5	1	8	6	9	3
ENSG00000117315	94	66	87	50	56	60	99	54
ENSG00000235761	35113	37549	37421	41729	39121	41983	12502	44589
ENSG00000188642	289	181	259	218	194	258	506	262
ENSG00000246703	25	13	11	17	14	13	22	4
ENSG00000192102	69	87	118	53	126	46	67	77
ENSG00000152867	11	12	18	24	31	16	25	10
ENSG00000206945	85	90	54	81	58	70	53	38
ENSG00000201190	194	184	136	185	171	152	80	162
ENSG00000249795	0	0	2	2	0	0	1	0
ENSG00000181496	458	462	377	357	189	450	233	256
ENSG00000133587	2951	2027	3005	1812	3825	1620	2518	2654
ENSG00000160521	38	74	104	114	101	142	81	69
ENSG00000124042	45	71	39	67	96	76	88	53
ENSG00000205546	1002	1481	737	1204	1086	1144	1020	1100
ENSG00000111205	23	12	35	8	16	8	33	14
ENSG00000228470	9	16	7	12	13	7	9	12
ENSG00000143449	26	9	9	10	16	8	11	6
ENSG00000245952	57	85	122	44	146	63	128	142
ENSG00000225868	533	167	301	367	135	388	278	335
ENSG00000100093	187	100	105	91	105	97	102	185
ENSG00000105836	375	510	507	488	399	465	427	304
ENSG00000146740	1136	680	356	958	816	1346	554	850
ENSG00000116925	328	369	153	292	667	236	237	342
ENSG00000144656	50	29	28	18	19	43	27	24
ENSG00000200181	104	63	159	87	134	60	142	122
