	SRR6200001	SRR6200002	SRR6200003	SRR6200004	SRR6200005	SRR6200006	SRR6200007	SRR6200008	SRR6200009	SRR6200010	SRR6200011	SRR6200012
ENSG00000174299	2	2	2	3	1	3	4	0	1	0	1	0
ENSG00000167840	122	157	82	141	123	177	113	129	89	118	189	241
ENSG00000217361	49	84	45	62	59	35	88	25	78	68	76	72
ENSG00000152058	622	449	664	277	572	713	967	783	1065	742	409	575
ENSG00000108947	587	442	513	1065	704	539	335	670	595	806	1094	397
ENSG00000197081	8463	4785	5169	4569	8972	6260	6255	7493	6855	9969	7097	10521
ENSG00000241735	171	176	143	133	82	105	140	95	181	133	281	90
ENSG00000136428	585	711	676	811	560	567	466	900	628	726	775	1044
ENSG00000172509	37	92	57	122	55	80	29	31	51	52	51	46
ENSG00000225793	98	66	106	57	68	44	82	49	85	42	94	64
ENSG00000225638	3574	3662	3625	3111	3770	2005	2029	3307	6372	2856	3591	7286
ENSG00000144137	119	142	142	110	136	127	147	106	89	84	94	69
ENSG00000211221	141	150	168	101	743	680	567	511	268	260	290	394
ENSG00000167576	46	122	55	38	49	108	90	55	97	62	60	74
ENSG00000210928	260	398	208	198	326	203	356	330	235	125	118	436
ENSG00000170543	282	477	206	744	577	604	812	1046	463	676	640	857
ENSG00000152233	171	109	67	132	116	127	135	161	76	76	126	103
ENSG00000140057	14	11	24	16	11	14	15	17	24	14	21	10
ENSG00000200516	367	118	239	273	361	497	161	322	303	178	472	514
ENSG00000154929	29	50	13	34	34	21	31	43	43	29	26	35
ENSG00000217757	80	66	75	46	49	56	102	66	103	77	73	74
ENSG00000233113	187	251	202	191	327	259	405	238	150	194	266	256
ENSG00000152703	329	550	319	158	318	339	127	308	143	175	221	356
ENSG00000236170	1	1	3	3	2	2	3	0	2	2	0	0
ENSG00000142513	5151	3965	2860	7050	2896	3363	7859	3650	4183	4341	7607	6539
ENSG00000243463	477	837	946	788	512	595	650	572	634	429	667	998
ENSG00000113514	7966	8724	10394	6941	11171	9586	4840	9195	5029	6194	8862	12782
ENSG00000230261	13912	24473	17695	21877	29666	17007	19518	13371	21764	22435	27049	39444
ENSG00000142338	19	34	30	27	40	8	24	26	15	35	26	37
ENSG00000112606	24	73	94	28	67	48	53	57	39	74	63	60
ENSG00000101563	148	256	263	174	318	235	239	287	208	215	320	226
ENSG00000222792	1168	834	862	784	983	884	1150	1227	969	1073	1378	1233
ENSG00000165797	45	61	77	67	41	17	78	76	33	32	46	49
ENSG00000154652	82	61	87	33	64	87	72	51	65	54	115	79
ENSG00000232855	1597	1444	2103	1160	3973	6257	4605	4221	1410	3522	3505	2293
ENSG00000166100	30	14	24	32	30	38	32	21	13	13	38	29
ENSG00000227094	172	221	285	224	188	174	155	226	227	67	184	172
ENSG00000230176	2186	1825	904	2418	2577	971	1212	2037	1632	1184	1353	1975
ENSG00000131169	92	96	121	65	79	68	66	40	87	79	104	85
ENSG00000162311	598	1090	400	552	638	821	675	562	1037	366	504	592
ENSG00000207721	69	175	135	153	198	77	90	119	258	111	102	125
ENSG00000171765	5	3	7	9	9	4	9	4	3	3	5	7
ENSG00000238663	45	55	38	18	39	63	46	37	40	41	43	47
ENSG00000210547	56	160	169	68	61	181	78	56	126	106	48	75
ENSG00000233022	72	94	73	117	76	162	84	65	67	93	60	80
ENSG00000237323	130	110	189	123	68	158	119	152	135	107	197	160
ENSG00000204262	295	290	496	862	595	612	270	479	423	326	294	447
ENSG00000193325	221	179	279	252	171	260	169	164	389	389	346	242
ENSG00000156011	218	206	312	216	251	296	194	299	165	149	180	238
ENSG00000223693	54	61	53	36	22	50	29	72	22	43	55	92
ENSG00000209628	44	47	74	47	80	109	98	78	93	112	107	40
ENSG00000155442	73	55	35	91	323	227	225	268	62	132	170	113
ENSG00000156026	35	36	57	39	49	10	28	18	47	62	17	36
ENSG00000167695	2556	1958	3251	1894	10313	10628	9588	6908	3835	6964	3208	3722
ENSG00000116921	2	3	3	3	7	2	1	1	2	1	3	9
ENSG00000244531	176	257	127	145	341	156	239	155	182	226	162	103
ENSG00000102909	8	4	3	6	11	5	2	8	4	2	8	4
ENSG00000242054	30	25	42	32	32	31	43	51	26	40	32	25
ENSG00000246582	549	819	883	463	618	508	748	978	774	757	464	589
ENSG00000144760	51	77	83	88	71	68	78	88	59	36	107	88
ENSG00000146853	2016	2885	1633	2287	1320	1795	1663	1555	1918	1927	2086	1398
ENSG00000147301	9	14	11	25	15	15	11	2	27	27	30	29
ENSG00000210422	41	86	52	84	225	314	437	481	65	153	127	78
ENSG00000132199	39	34	50	36	27	46	15	36	24	42	41	24
ENSG00000117195	181	113	117	153	127	87	95	99	138	106	180	65
ENSG00000244325	73	62	70	47	271	282	193	292	162	155	165	94
ENSG00000134997	26	64	27	61	34	74	36	68	42	64	78	53
ENSG00000190235	174	122	110	90	188	116	87	66	243	167	150	153
ENSG00000122263	1760	1479	601	826	891	1496	1078	971	811	1070	1017	850
ENSG00000239423	134	209	173	123	183	134	174	216	190	237	166	92
ENSG00000190149	128	143	135	263	399	684	717	444	383	215	119	346
ENSG00000103048	56	22	53	69	44	66	85	46	66	50	58	65
ENSG00000172700	36	23	31	16	41	17	16	39	22	9	20	19
ENSG00000155215	7	10	7	5	4	3	4	7	5	6	7	5
ENSG00000205125	22	11	12	11	8	9	14	9	10	15	8	16
ENSG00000121475	82	96	154	134	105	81	93	79	135	113	110	119
ENSG00000245853	1	2	3	2	2	0	2	4	2	1	2	6
ENSG00000157114	362	380	408	129	338	460	550	223	316	388	398	316
ENSG00000202735	35	32	27	38	58	37	27	47	37	59	29	56
ENSG00000141215	12	17	18	17	12	17	14	21	11	24	20	14
ENSG00000171322	26	32	27	69	41	38	34	30	32	38	27	22
ENSG00000205620	289	323	560	462	373	572	254	445	248	153	463	372
ENSG00000193001	310	334	269	230	183	225	248	88	140	243	286	245
ENSG00000177910	83	53	150	109	199	334	155	253	153	97	176	163
ENSG00000224608	2939	2615	3440	4101	4322	3588	2971	3234	915	3537	3452	5069
ENSG00000195028	10997	7975	15411	12350	8390	10920	14510	13829	16670	15099	3913	13818
ENSG00000144964	9	11	17	10	8	9	16	5	12	2	7	8
ENSG00000210445	710	805	803	911	357	748	487	867	444	907	725	585
ENSG00000114178	30	41	24	33	39	21	18	19	20	19	12	17
ENSG00000163725	7	5	5	4	10	6	9	4	8	6	12	8
ENSG00000214779	32	45	54	61	35	20	30	43	24	25	46	32
ENSG00000208848	1614	955	923	1260	984	1537	579	1137	567	866	1062	1015
ENSG00000115410	61	24	47	51	54	59	58	79	30	53	51	47
ENSG00000226350	64	22	56	106	89	34	34	46	49	55	56	73
ENSG00000158934	1941	1876	2588	1559	1856	2351	3711	2068	924	2622	2464	1804
ENSG00000220078	322	524	413	265	397	190	513	337	297	275	495	376
ENSG00000199311	107	78	91	178	226	129	129	116	37	139	97	73
ENSG00000109413	5439	3569	3032	8012	5919	6083	11150	5732	5213	3236	8256	6912
ENSG00000243852	275	335	466	478	1884	2843	851	1144	970	1075	670	515
ENSG00000222636	21	33	35	48	15	27	32	12	29	60	38	44
ENSG00000126807	17	13	13	22	10	12	13	15	25	22	14	24
ENSG00000111433	51	71	58	19	40	27	70	57	56	67	67	132
ENSG00000120015	128	198	186	192	213	181	185	303	345	151	160	237
ENSG00000199403	1347	1109	896	619	681	1565	882	1468	1304	1319	409	1452
ENSG00000167305	1515	586	1026	778	1113	853	1151	1081	707	566	753	993
ENSG00000248054	205	152	109	243	232	244	197	214	277	151	156	259
ENSG00000239258	8	21	13	19	51	104	74	75	25	41	20	29
ENSG00000230426	1175	844	1306	720	1198	834	1202	860	1243	808	1389	1253
ENSG00000168931	153	232	179	187	131	268	208	177	186	174	179	150
ENSG00000221244	23	18	16	24	29	8	15	30	14	9	24	12
ENSG00000127546	23	17	12	10	11	13	24	16	7	14	10	21
ENSG00000237521	201	353	265	227	295	287	260	355	159	368	243	365
ENSG00000218908	227	310	502	178	491	126	496	396	250	465	184	365
ENSG00000134565	859	983	578	753	929	1102	924	819	1200	968	1495	574
ENSG00000187824	15	30	11	13	11	11	13	12	25	8	22	13
ENSG00000213907	8400	5145	8891	9444	7451	6482	6622	6365	7284	6600	10028	8633
ENSG00000247086	1	3	4	5	4	14	15	23	12	13	6	11
ENSG00000233359	144	97	132	149	368	822	567	427	299	345	189	346
ENSG00000194526	1424	1829	3337	1607	2156	1818	3084	1895	2176	4472	2566	2834
ENSG00000232698	1208	691	771	2130	1571	1013	867	3184	3135	1114	1091	1105
ENSG00000243488	20	20	18	54	17	14	16	42	21	32	27	18
ENSG00000221435	396	216	772	588	1776	1687	1085	2199	872	816	1322	1096
ENSG00000189790	1669	1696	1159	1001	1405	1425	1953	1522	994	1866	1668	2092
ENSG00000132787	676	541	706	637	2374	1528	3005	4882	1748	1991	844	2275
ENSG00000177356	10	23	18	15	17	8	13	12	20	21	13	18
ENSG00000174959	3515	4692	3144	5195	3717	5741	3014	4833	5624	4231	6385	3901
ENSG00000109751	3	3	4	6	0	9	8	6	5	2	12	11
ENSG00000240534	168	114	300	312	117	213	131	172	190	120	161	152
ENSG00000137443	16	20	17	4	21	16	10	26	36	22	13	11
ENSG00000128478	53	47	57	108	33	62	74	69	108	23	76	93
ENSG00000236690	45	75	114	84	32	92	130	42	148	53	73	84
ENSG00000137417	376	142	589	370	493	662	284	330	408	416	489	624
ENSG00000210003	20	7	11	15	12	17	8	14	8	6	19	12
ENSG00000231861	212	310	176	208	279	176	315	254	320	322	265	164
ENSG00000244707	2231	1000	952	2406	778	1423	2838	1811	1220	1179	2712	2351
ENSG00000196343	178	249	140	205	137	127	168	182	138	160	222	137
ENSG00000161807	405	381	581	503	427	388	632	504	328	411	570	820
ENSG00000182998	676	348	344	689	389	273	319	297	281	124	520	489
ENSG00000126187	20	36	53	42	34	23	63	12	21	34	38	23
ENSG00000105303	83	52	69	74	28	28	54	71	59	107	57	35
ENSG00000238290	163	120	210	155	630	310	683	465	240	362	222	212
ENSG00000231039	474	329	369	437	377	139	605	512	575	386	411	649
ENSG00000183579	10868	11069	11920	10236	10723	6536	10083	6789	8551	15013	8727	5604
ENSG00000241955	4394	4064	4502	3867	4450	3558	3646	2774	2449	6184	7656	4073
ENSG00000161190	55	35	70	61	65	59	68	25	42	37	47	57
ENSG00000106584	71	104	51	77	46	75	56	47	67	45	34	115
ENSG00000175129	6	15	17	18	17	13	15	8	25	12	21	20
ENSG00000141034	1	2	2	1	3	2	0	1	1	1	0	1
ENSG00000134359	1521	1377	2550	3880	1853	1935	1774	2588	2687	3231	2127	2792
ENSG00000199241	466	380	192	595	598	461	314	462	264	397	449	548
ENSG00000174958	2	3	1	1	3	3	3	2	4	1	1	3
ENSG00000193838	81	160	112	132	180	154	117	226	90	170	134	174
ENSG00000100038	12474	14300	18766	8872	59076	45993	64174	50015	42292	27051	37815	47652
ENSG00000223388	664	362	484	401	403	526	486	569	496	349	339	265
ENSG00000243728	414	543	332	225	495	528	485	523	532	334	245	525
ENSG00000211982	374	278	195	380	185	214	185	266	173	129	192	274
ENSG00000209332	32	41	17	50	12	24	40	23	27	29	26	46
ENSG00000125315	6	9	6	11	18	18	15	8	22	13	7	7
ENSG00000234612	32	28	18	20	39	138	121	82	40	42	35	73
ENSG00000115977	237	176	110	140	73	165	175	134	294	92	138	190
ENSG00000237835	62	73	126	65	68	92	53	110	77	87	98	86
ENSG00000167989	917	465	285	769	694	843	584	481	552	688	487	611
ENSG00000227547	3381	4781	4178	2963	5361	8216	5642	2734	5008	5907	3535	4288
ENSG00000230475	509	521	245	496	493	682	745	426	325	442	527	647
ENSG00000229609	878	451	1033	539	894	556	726	1001	595	657	631	852
ENSG00000174491	64	57	70	76	83	56	52	66	83	47	92	69
ENSG00000149678	3	12	13	5	11	14	0	12	6	15	11	10
ENSG00000179909	16842	7387	18582	10798	84468	54831	40028	75529	22578	16766	23291	12091
ENSG00000104365	665	910	517	716	788	622	860	707	560	983	680	445
ENSG00000162857	970	1285	731	2387	1740	1993	1058	2370	2208	1470	845	1532
ENSG00000147937	94	61	86	60	35	100	46	59	44	56	52	87
ENSG00000170625	6	6	5	6	7	7	12	2	2	5	5	5
ENSG00000207220	2136	3472	1647	2068	3611	897	2258	1248	2724	1377	1797	2515
ENSG00000178134	4	2	1	0	1	1	1	2	2	1	3	0
ENSG00000111719	117	58	66	108	99	101	126	49	169	75	104	82
ENSG00000110877	59	25	62	23	35	37	85	48	35	66	46	36
ENSG00000103746	201	314	178	299	188	220	172	204	248	200	365	120
ENSG00000227463	671	743	1307	923	549	930	849	468	461	469	796	355
ENSG00000209745	988	1070	867	545	425	932	860	683	1108	856	765	719
ENSG00000194324	0	1	3	2	5	1	2	5	2	6	3	2
ENSG00000124359	1067	1377	715	1180	1030	1749	2146	823	1066	942	1595	876
ENSG00000103963	4	3	1	1	2	2	1	3	1	3	4	1
ENSG00000165478	899	305	496	565	516	697	432	669	806	519	564	188
ENSG00000103984	99	81	24	24	60	73	49	74	43	98	70	101
ENSG00000215947	14	10	13	10	14	16	20	10	10	24	8	17
ENSG00000168183	43	38	23	27	34	28	64	40	46	45	51	60
ENSG00000242090	7	5	11	11	14	5	7	7	10	9	8	9
ENSG00000213694	91	146	144	125	136	61	223	275	98	133	157	187
ENSG00000160047	519	868	1586	1265	1407	1451	759	1454	1035	2130	1377	1462
ENSG00000131863	365	889	593	885	1162	774	747	636	754	593	450	617
ENSG00000115718	180	165	219	163	569	673	458	940	161	326	482	376
ENSG00000129679	1358	915	1489	583	1506	1030	1005	1654	1505	1295	1433	1673
ENSG00000144383	333	225	321	405	441	342	431	934	367	147	245	495
ENSG00000179219	10266	13163	8895	8007	9486	14603	21249	11167	9777	5987	10078	12349
ENSG00000125703	555	342	406	313	512	342	462	347	350	430	518	314
ENSG00000236097	37	22	42	75	40	47	40	50	33	24	46	58
ENSG00000132174	41	60	66	111	89	28	101	74	97	70	59	71
ENSG00000186400	51	19	24	26	137	132	175	167	43	30	73	49
ENSG00000181834	186	61	87	68	103	61	135	105	71	56	118	77
ENSG00000207989	109	136	74	131	134	78	63	166	80	142	82	58
ENSG00000117361	1038	1029	515	1139	1117	638	312	594	423	546	459	522
ENSG00000111529	788	708	628	905	384	398	822	902	842	540	567	844
ENSG00000218243	118	94	206	167	158	100	171	124	332	185	187	226
ENSG00000166256	495	373	289	322	904	1792	1316	1033	1143	778	694	839
ENSG00000224369	21	29	50	31	22	24	28	44	30	48	31	19
ENSG00000126234	65	39	97	43	58	44	49	54	74	80	57	47
ENSG00000246521	2	1	1	4	3	1	4	2	0	1	1	1
ENSG00000182057	26	35	23	28	21	17	26	50	20	37	53	26
ENSG00000143958	31	100	73	50	64	38	52	38	49	26	69	54
ENSG00000194540	25473	29098	19779	24138	22143	22936	24135	29758	33814	18188	27802	26839
ENSG00000198875	17	8	6	7	3	16	4	12	10	17	6	6
ENSG00000138909	145	209	228	176	166	194	143	222	175	179	162	247
ENSG00000219924	44	116	86	64	168	75	83	80	54	65	91	96
ENSG00000221954	4	8	4	4	13	10	5	7	6	4	11	7
ENSG00000211003	337	254	251	320	292	147	284	216	103	146	363	201
ENSG00000178671	239	145	161	202	136	73	205	79	137	155	103	205
ENSG00000190904	5	7	4	13	4	4	3	9	5	3	12	6
ENSG00000205490	1	1	4	2	1	0	3	1	1	0	0	2
ENSG00000186777	142	74	100	88	196	177	107	138	77	126	72	150
ENSG00000170703	15	3	14	9	25	27	38	37	34	10	9	19
ENSG00000166257	748	491	548	390	246	681	397	815	741	590	809	738
ENSG00000135146	73	90	146	88	54	65	67	106	89	107	75	110
ENSG00000239380	478	742	459	362	442	458	487	350	242	422	357	422
ENSG00000129138	83	100	106	98	245	299	387	421	149	186	119	153
ENSG00000117415	4083	3823	3964	2454	4301	2696	3230	2973	2082	6678	3645	4709
ENSG00000169045	669	633	353	514	639	743	588	1018	550	554	498	734
ENSG00000173972	1857	3397	3963	5365	4902	1606	3841	1977	3402	2211	1916	3379
ENSG00000192909	150	126	174	290	290	148	166	310	244	235	108	208
ENSG00000198079	15	21	31	21	25	23	14	15	16	14	11	18
ENSG00000201088	2	6	11	9	8	10	11	4	6	23	10	5
ENSG00000195093	87	44	40	35	45	51	72	31	60	61	64	30
ENSG00000134331	633	319	407	220	269	235	250	249	272	108	239	429
ENSG00000212460	30	57	35	70	68	23	58	45	68	34	19	42
ENSG00000110521	26274	34073	25436	25716	19793	36900	26405	16626	23331	26573	28275	35688
ENSG00000134808	150	145	72	124	70	155	129	302	141	223	70	156
ENSG00000126929	374	521	449	327	439	735	447	303	351	278	633	458
ENSG00000228680	227	192	169	289	72	234	223	223	175	128	181	344
ENSG00000135428	22	15	16	6	11	12	11	6	10	13	12	21
ENSG00000179232	987	2129	1029	1297	1100	807	1075	740	1651	882	1240	1328
ENSG00000202553	573	471	1010	680	532	567	706	608	574	399	635	563
ENSG00000107534	1340	714	1183	686	944	763	1450	616	645	1025	875	962
ENSG00000212370	13	22	23	13	18	31	20	38	53	12	19	33
ENSG00000122975	110	171	116	253	154	154	136	127	158	119	110	112
ENSG00000139244	287	170	91	112	105	121	188	162	75	68	217	119
ENSG00000135147	1125	3060	2746	2266	2474	1908	1804	2453	1765	2164	1906	2073
ENSG00000166477	8	15	19	5	12	9	6	6	12	7	10	13
ENSG00000132809	607	591	563	722	435	740	859	488	387	743	328	530
ENSG00000199392	1792	2640	1676	1684	1511	1879	2884	2130	1844	2257	1764	2608
ENSG00000165917	55	37	83	75	46	84	46	65	87	46	39	69
ENSG00000106318	36	42	34	39	27	56	41	35	16	28	42	44
ENSG00000150601	3238	2731	4059	2834	3602	2091	2812	1462	2932	1758	1627	2963
ENSG00000106739	222	234	293	192	236	359	243	273	191	135	279	342
ENSG00000174080	2331	2055	1631	1626	1314	1255	1389	1326	1414	2564	2923	1250
ENSG00000228705	571	707	837	966	1322	664	519	1321	803	935	1005	669
ENSG00000240183	1477	2147	1806	967	2446	2114	796	1587	596	1880	1581	1693
ENSG00000124708	59	90	76	106	160	134	107	96	109	147	88	115
ENSG00000197543	3	1	3	2	6	7	2	6	2	4	2	2
ENSG00000236546	752	958	488	277	678	871	563	384	575	625	618	685
ENSG00000134294	27	30	44	66	61	37	41	48	64	61	44	43
ENSG00000230609	435	531	985	706	3270	2536	1514	2237	1136	753	1103	1441
ENSG00000160751	42	91	75	98	19	63	110	57	104	83	45	73
ENSG00000210455	2645	3225	9953	6869	6234	4888	4031	5426	3164	7801	5488	5665
ENSG00000101524	158	110	146	151	144	61	99	174	113	116	108	79
ENSG00000129396	989	1441	871	1345	1060	658	683	1123	551	1698	795	964
ENSG00000177308	1156	3451	1205	1147	7274	5990	5452	8198	3271	3279	3145	2871
ENSG00000125521	99	140	254	169	193	184	268	128	180	193	129	110
ENSG00000231974	352	508	358	372	218	398	232	353	397	323	435	204
ENSG00000111454	161	208	159	256	455	505	575	561	208	319	421	268
ENSG00000142372	28	37	15	33	58	45	44	24	31	29	29	40
ENSG00000108074	3989	1588	4115	3340	3258	3713	3390	3467	3064	4256	3118	2043
ENSG00000146064	24	18	17	25	51	36	23	13	41	18	28	14
ENSG00000211766	4	8	14	5	3	9	4	8	6	4	0	16
ENSG00000103241	107	19	61	81	70	60	64	62	59	51	67	77
ENSG00000208422	244	295	192	362	254	282	311	177	150	272	396	182
ENSG00000204461	385	274	123	188	309	59	119	176	169	263	229	173
ENSG00000100214	83	96	76	67	48	127	68	65	47	75	86	78
ENSG00000148438	36	124	73	39	71	62	94	66	104	106	76	147
ENSG00000138768	2	2	1	3	3	2	3	3	0	2	5	0
ENSG00000169656	665	684	920	559	622	656	496	805	505	646	809	703
ENSG00000185333	4931	6946	3775	6458	6460	4596	5659	9127	3101	6166	4831	3073
ENSG00000231208	94	35	63	16	31	61	22	30	48	18	44	32
ENSG00000176355	7	9	3	2	3	8	8	3	3	1	7	10
ENSG00000129240	912	308	600	718	751	684	819	999	506	806	596	670
ENSG00000199418	130	189	99	87	19	131	179	114	155	134	149	149
ENSG00000125788	3	0	0	0	0	0	0	1	3	1	1	2
ENSG00000185991	45	26	54	36	27	45	50	32	44	37	23	38
ENSG00000232481	8	6	14	5	11	8	10	6	13	3	6	7
ENSG00000231882	12	32	11	30	13	13	24	15	10	6	14	19
ENSG00000153400	16229	10757	9944	9512	13069	8559	9909	6170	11132	11161	9753	15533
ENSG00000149114	1314	1477	902	1210	1300	1371	2014	1498	1094	729	1705	1385
ENSG00000213016	160	83	162	186	142	148	131	94	110	165	149	108
ENSG00000144499	143	180	220	159	144	175	143	107	192	109	292	175
ENSG00000120424	3693	4789	2615	5163	5518	3938	2957	4620	4384	4399	3159	4003
ENSG00000114086	42	12	16	17	7	16	12	19	24	17	15	10
ENSG00000124326	828	1204	582	458	1079	569	1457	948	491	825	725	871
ENSG00000141292	50	39	40	30	26	34	37	41	67	80	48	42
ENSG00000150925	1002	923	734	1013	651	1489	863	669	813	564	1107	1126
ENSG00000115795	198	330	399	291	152	185	242	210	242	233	228	206
ENSG00000249700	51	35	56	57	32	33	30	53	33	30	39	30
ENSG00000195356	971	1010	827	1235	1350	1873	882	1812	1319	1448	2172	1597
ENSG00000134957	385	469	505	365	205	687	508	587	367	591	451	355
ENSG00000148847	7149	10314	5704	4712	6503	6393	10432	5396	8559	5761	8549	4039
ENSG00000111089	93	49	60	78	69	83	89	79	82	44	37	79
ENSG00000162563	170	414	110	124	284	192	334	266	241	216	245	364
ENSG00000194946	34	83	50	61	225	191	160	153	50	114	116	57
ENSG00000173400	1551	2956	1629	1943	12350	18374	12796	8038	4446	2618	4991	4582
ENSG00000147866	37	38	20	49	52	17	30	43	46	14	30	27
ENSG00000112138	195	145	157	126	285	114	181	116	118	172	203	234
ENSG00000186690	2291	1907	2461	1399	9253	12109	9601	10016	6477	10198	6768	4698
ENSG00000243477	757	1026	454	340	660	629	500	423	364	460	497	688
ENSG00000185138	364	418	292	378	286	362	273	413	457	210	268	536
ENSG00000164932	154	449	221	351	324	192	245	511	332	288	335	176
ENSG00000105397	412	256	595	208	476	288	266	391	176	304	549	424
ENSG00000115189	643	501	632	742	2427	2665	3364	1523	1430	1035	2513	822
ENSG00000111606	132	110	114	72	63	76	89	84	111	100	96	119
ENSG00000236538	3	7	3	3	3	1	4	4	2	3	3	6
ENSG00000158824	2664	2634	2414	3051	2622	1062	1531	3309	2222	3650	3447	2163
ENSG00000204635	16	18	21	19	19	28	35	38	20	12	31	31
ENSG00000231063	10886	9258	7998	5867	4353	6343	5150	9029	5453	7558	5786	11041
ENSG00000125791	238	266	326	236	202	380	352	316	208	421	388	726
ENSG00000164118	62571	93359	67615	39889	46430	36379	38133	77613	48827	80604	78363	55369
ENSG00000194497	2287	2094	1640	2746	10874	7916	13634	4579	2678	3509	3843	5084
ENSG00000200330	353	290	552	435	1130	2617	951	1875	969	517	742	1721
ENSG00000159403	875	717	920	1279	1574	857	600	612	578	1361	1404	1296
ENSG00000188599	6	12	5	12	6	13	10	14	13	8	5	8
ENSG00000171254	324	331	220	217	147	211	322	354	217	295	304	164
ENSG00000115625	66	78	74	82	332	248	445	271	234	196	138	200
ENSG00000226495	117	243	135	161	127	162	160	149	84	240	282	181
ENSG00000193434	3	2	0	5	12	20	3	16	6	9	8	4
ENSG00000208114	2	2	1	6	1	1	0	0	2	3	2	3
ENSG00000193894	684	757	455	296	695	780	1075	803	561	995	746	486
ENSG00000239853	184	250	69	217	179	126	215	148	174	230	173	200
ENSG00000229887	98	53	74	86	68	53	57	84	66	58	69	65
ENSG00000209936	141	139	126	135	188	125	87	267	150	119	148	106
ENSG00000111019	18	64	15	46	241	155	166	192	98	86	149	72
ENSG00000240124	62	109	58	56	37	107	44	45	38	42	60	66
ENSG00000173121	499	404	588	822	617	1042	519	723	532	672	749	551
ENSG00000109074	80	143	84	137	83	123	59	81	83	88	119	63
ENSG00000112094	938	949	514	1027	766	836	692	516	1170	456	682	540
ENSG00000194014	75	31	42	16	46	46	67	25	19	40	22	41
ENSG00000135941	1	0	4	0	9	1	6	5	5	2	4	5
ENSG00000149630	29	65	25	17	24	47	58	41	41	36	99	57
ENSG00000165030	40	106	128	89	86	125	139	157	157	67	116	140
ENSG00000148912	16	18	33	18	21	17	12	19	18	18	10	13
ENSG00000157237	87	32	86	115	72	108	103	94	93	80	81	83
ENSG00000246805	34	58	49	63	62	52	32	40	54	50	66	33
ENSG00000201566	915	502	1117	1353	1356	809	1290	599	1006	1161	1325	1411
ENSG00000244836	1210	501	1245	1339	388	1231	804	1634	772	529	1033	587
ENSG00000186163	1620	1773	2253	1743	6482	10837	9930	8036	2294	3685	2509	3292
ENSG00000242792	41	28	21	34	53	29	41	25	30	47	57	63
ENSG00000137918	449	254	144	371	324	213	424	315	302	311	244	287
ENSG00000148278	2608	2730	2259	2695	1793	2201	2056	1175	2821	1907	2188	1827
ENSG00000104250	158	220	376	206	195	188	201	308	163	191	187	174
ENSG00000211784	148	190	209	148	79	170	175	117	158	123	118	93
ENSG00000124931	36	30	29	39	42	25	33	45	49	29	26	18
ENSG00000246627	988	840	1177	1122	1757	1133	605	725	1057	1449	1081	578
ENSG00000173439	318	244	336	238	185	184	233	221	165	192	217	255
ENSG00000151203	1506	895	1133	725	1225	752	1276	1616	1752	1052	1415	1754
ENSG00000146236	98	183	98	103	91	82	110	132	117	144	91	162
ENSG00000196138	13915	12703	6908	15360	22940	41282	39605	40417	25453	44063	27451	16330
ENSG00000102616	121	140	123	98	111	98	247	210	117	168	127	197
ENSG00000116237	10	19	11	6	20	8	11	24	8	18	6	13
ENSG00000237219	184	245	293	113	192	273	232	105	331	160	284	251
ENSG00000190078	433	442	530	525	306	351	397	545	390	360	339	428
ENSG00000205101	853	2556	1120	3301	2915	3139	2410	2963	1285	2819	1995	4628
ENSG00000112473	29	76	31	51	47	60	75	50	15	63	63	84
ENSG00000168220	47	53	48	70	40	64	55	34	62	52	75	39
ENSG00000118168	161	108	89	79	76	98	95	63	76	75	60	148
ENSG00000245744	64	72	67	59	39	36	34	64	75	59	85	81
ENSG00000133042	3	2	4	1	1	2	5	0	3	2	2	6
ENSG00000197182	553	887	441	857	719	1156	920	563	761	800	298	883
ENSG00000226973	2282	1590	1745	1032	1321	3008	1899	2725	3267	1442	3439	1884
ENSG00000242917	42	24	28	42	34	13	42	38	25	18	66	29
ENSG00000181726	21	20	24	27	12	15	19	11	15	19	19	31
ENSG00000241443	95	107	113	123	153	98	128	69	133	77	116	142
ENSG00000189090	25	34	19	44	34	24	36	25	31	61	23	13
ENSG00000172717	546	708	824	910	1258	740	616	810	1009	1060	897	624
ENSG00000109033	27	29	44	41	49	34	27	48	43	21	36	58
ENSG00000241459	527	509	571	297	371	511	536	612	822	660	294	625
ENSG00000234817	13	12	8	13	10	21	11	9	11	6	15	15
ENSG00000165012	5	3	10	8	5	2	2	12	9	8	1	5
ENSG00000124352	3	10	6	10	3	2	10	9	7	5	4	8
ENSG00000113089	2	6	16	15	45	32	49	24	12	21	16	19
ENSG00000108775	199	225	449	562	398	495	445	244	250	288	325	338
ENSG00000115680	542	730	849	1020	1051	1003	1035	523	485	409	1148	464
ENSG00000114232	257	153	237	275	117	259	156	183	263	142	252	230
ENSG00000248578	250	181	222	284	347	169	283	256	264	243	235	175
ENSG00000190247	3	1	0	0	2	2	2	1	3	2	1	1
ENSG00000205733	1447	1459	1094	1610	1507	2246	1082	1287	3364	1790	1368	1623
ENSG00000133264	12	22	13	16	14	14	7	10	9	10	13	11
ENSG00000207090	1586	1448	2248	2237	1966	3370	2244	1124	2747	2104	1294	3560
ENSG00000126832	19360	26116	52338	36859	23980	14234	27547	26649	26025	25237	34138	11293
ENSG00000101303	216	302	213	190	188	234	237	131	133	103	173	98
ENSG00000206661	932	506	601	415	674	573	1021	715	390	271	710	455
